,file,file_idx,frame
337,20000_B_BF.tiff,10,35
338,20000_B_BF.tiff,10,40
339,20000_B_BF.tiff,10,45
340,20000_B_BF.tiff,10,50
341,20000_B_BF.tiff,10,55
342,20000_B_BF.tiff,10,60
343,20000_B_BF.tiff,10,65
344,20000_B_BF.tiff,10,70
345,20000_B_BF.tiff,10,75
346,20000_B_BF.tiff,10,80
347,20000_B_BF.tiff,10,85
348,20000_B_BF.tiff,10,90
349,20000_B_BF.tiff,10,95
350,20000_B_BF.tiff,10,100
351,20000_B_BF.tiff,10,105
352,20000_B_BF.tiff,10,110
353,20000_B_BF.tiff,10,115
354,20000_B_BF.tiff,10,120
355,20000_B_BF.tiff,10,125
356,20000_B_BF.tiff,10,130
357,20000_B_BF.tiff,10,135
358,20000_B_BF.tiff,10,140
359,20000_B_BF.tiff,10,145
360,20000_B_BF.tiff,10,150
361,20000_B_BF.tiff,10,155
362,20000_B_BF.tiff,10,160
363,20000_C_BF.tiff,11,0
364,20000_C_BF.tiff,11,5
365,20000_C_BF.tiff,11,10
366,20000_C_BF.tiff,11,15
367,20000_C_BF.tiff,11,20
368,20000_C_BF.tiff,11,25
369,20000_C_BF.tiff,11,30
370,20000_C_BF.tiff,11,35
371,20000_C_BF.tiff,11,40
372,20000_C_BF.tiff,11,45
373,20000_C_BF.tiff,11,50
374,20000_C_BF.tiff,11,55
375,20000_C_BF.tiff,11,60
376,20000_C_BF.tiff,11,65
377,20000_C_BF.tiff,11,70
378,20000_C_BF.tiff,11,75
379,20000_C_BF.tiff,11,80
380,20000_C_BF.tiff,11,85
381,20000_C_BF.tiff,11,90
382,20000_C_BF.tiff,11,95
383,20000_C_BF.tiff,11,100
384,20000_C_BF.tiff,11,105
385,20000_C_BF.tiff,11,110
386,20000_C_BF.tiff,11,115
387,20000_C_BF.tiff,11,120
388,20000_C_BF.tiff,11,125
389,20000_C_BF.tiff,11,130
390,20000_C_BF.tiff,11,135
391,20000_C_BF.tiff,11,140
392,20000_C_BF.tiff,11,145
393,20000_C_BF.tiff,11,150
394,20000_C_BF.tiff,11,155
395,20000_C_BF.tiff,11,160
396,2500_A_BF.tiff,12,0
397,2500_A_BF.tiff,12,5
398,2500_A_BF.tiff,12,10
399,2500_A_BF.tiff,12,15
400,2500_A_BF.tiff,12,20
401,2500_A_BF.tiff,12,25
402,2500_A_BF.tiff,12,30
403,2500_A_BF.tiff,12,35
404,2500_A_BF.tiff,12,40
405,2500_A_BF.tiff,12,45
406,2500_A_BF.tiff,12,50
407,2500_A_BF.tiff,12,55
408,2500_A_BF.tiff,12,60
409,2500_A_BF.tiff,12,65
410,2500_A_BF.tiff,12,70
411,2500_A_BF.tiff,12,75
412,2500_A_BF.tiff,12,80
413,2500_A_BF.tiff,12,85
414,2500_A_BF.tiff,12,90
415,2500_A_BF.tiff,12,95
416,2500_A_BF.tiff,12,100
417,2500_A_BF.tiff,12,105
418,2500_A_BF.tiff,12,110
419,2500_A_BF.tiff,12,115
420,2500_A_BF.tiff,12,120
421,2500_A_BF.tiff,12,125
422,2500_A_BF.tiff,12,130
423,2500_A_BF.tiff,12,135
424,2500_A_BF.tiff,12,140
425,2500_A_BF.tiff,12,145
426,2500_A_BF.tiff,12,150
427,2500_A_BF.tiff,12,155
428,2500_A_BF.tiff,12,160
429,2500_B_BF.tiff,13,0
430,2500_B_BF.tiff,13,5
431,2500_B_BF.tiff,13,10
432,2500_B_BF.tiff,13,15
433,2500_B_BF.tiff,13,20
434,2500_B_BF.tiff,13,25
435,2500_B_BF.tiff,13,30
436,2500_B_BF.tiff,13,35
437,2500_B_BF.tiff,13,40
438,2500_B_BF.tiff,13,45
439,2500_B_BF.tiff,13,50
440,2500_B_BF.tiff,13,55
441,2500_B_BF.tiff,13,60
442,2500_B_BF.tiff,13,65
443,2500_B_BF.tiff,13,70
444,2500_B_BF.tiff,13,75
445,2500_B_BF.tiff,13,80
446,2500_B_BF.tiff,13,85
447,2500_B_BF.tiff,13,90
448,2500_B_BF.tiff,13,95
449,2500_B_BF.tiff,13,100
450,2500_B_BF.tiff,13,105
451,2500_B_BF.tiff,13,110
452,2500_B_BF.tiff,13,115
453,2500_B_BF.tiff,13,120
