,.,BFP (norm.),BFP (norm.),BFP (norm.),BFP (norm.),BFP (norm.),GFP (norm.),GFP (norm.),GFP (norm.),GFP (norm.),GFP (norm.)
,Distance (mm),64h,88h,112h,136h,160h,64h,88h,112h,136h,160h
82,0.27512250382003267,0.10077019,0.16139635,0.15040909,0.24585013,0.1864284,0.6130801,0.7224451,0.742231,0.8817109,0.9995956
83,0.27847765630564286,0.102019,0.1635896,0.15256564,0.24829625,0.18990612,0.60764146,0.7179741,0.73702204,0.8773273,0.9999461
84,0.281832808791253,0.103345044,0.16570014,0.15468019,0.25065395,0.19342057,0.60229695,0.7133412,0.7320059,0.8728585,1.0
85,0.28518796127686313,0.10474556,0.16771445,0.15674776,0.25291893,0.19696945,0.5970304,0.708545,0.7271784,0.8683055,0.99973756
86,0.2885431137624733,0.106215954,0.16961932,0.15876444,0.25508758,0.20054953,0.59182537,0.7035821,0.7225373,0.8636741,0.9991454
87,0.29189826624808346,0.10775079,0.17140594,0.16072705,0.257157,0.20415723,0.58666414,0.6984515,0.7180661,0.8589759,0.99821466
88,0.2952534187336936,0.109343134,0.17306578,0.16263331,0.2591254,0.20778576,0.5815297,0.69314736,0.71375215,0.8542288,0.99694455
89,0.2986085712193038,0.110984765,0.17459506,0.16448125,0.26099205,0.21142894,0.5764069,0.6876692,0.7095733,0.84945685,0.99533945
90,0.3019637237049139,0.1126662,0.17599201,0.16627038,0.26275715,0.21507658,0.5712828,0.6820137,0.7055064,0.8446903,0.99340856
91,0.30531887619052406,0.114377394,0.17725848,0.16800022,0.26442233,0.21871784,0.5661488,0.67618185,0.70152766,0.8399647,0.99116874
92,0.30867402867613425,0.116106935,0.17839971,0.16967064,0.26599118,0.2223402,0.5609976,0.67017686,0.69760877,0.83531916,0.9886375
93,0.3120291811617444,0.11784278,0.17942289,0.17128298,0.26746786,0.22592731,0.5558282,0.66400373,0.69372547,0.83079743,0.9858395
94,0.3153843336473545,0.11957275,0.1803393,0.1728385,0.26885876,0.22946492,0.55064183,0.6576732,0.6898505,0.82644296,0.98280036
95,0.3187394861329647,0.12128416,0.18116152,0.17433865,0.27017102,0.23293519,0.54544544,0.65119845,0.68596053,0.8223015,0.97954786
96,0.32209463861857485,0.12296495,0.18190521,0.17578566,0.27141377,0.23632264,0.54024655,0.6445992,0.6820343,0.81841516,0.9761122
97,0.325449791104185,0.12460253,0.18258677,0.1771825,0.27259615,0.23961067,0.53505903,0.6378993,0.6780527,0.81482494,0.97252095
98,0.3288049435897952,0.1261857,0.18322428,0.17853282,0.27372873,0.24278486,0.5298963,0.6311267,0.6740025,0.81156707,0.9688045
99,0.3321600960754053,0.1277042,0.1838361,0.1798402,0.27482173,0.24583352,0.5247753,0.6243159,0.6698736,0.80867237,0.96498907
100,0.33551524856101544,0.12914921,0.18444131,0.18111019,0.2758863,0.24874708,0.51971334,0.6175023,0.66566104,0.80616784,0.9611012
101,0.33887040104662564,0.13051336,0.1850586,0.1823481,0.2769327,0.25152004,0.51472807,0.6107278,0.6613667,0.8040718,0.9571637
102,0.34222555353223577,0.13179074,0.18570624,0.18356128,0.2779708,0.25415045,0.50983787,0.60403496,0.65699625,0.8024005,0.9531984
103,0.3455807060178459,0.13297841,0.18640177,0.18475707,0.27900946,0.256639,0.50505835,0.5974679,0.6525635,0.801161,0.9492233
104,0.3489358585034561,0.13407518,0.18716133,0.18594338,0.2800565,0.25899288,0.5004067,0.5910723,0.64808536,0.80035895,0.9452552
105,0.35229101098906623,0.13508126,0.18800014,0.1871297,0.28111827,0.26121995,0.495895,0.5848924,0.6435864,0.7999936,0.9413073
106,0.35564616347467637,0.13600072,0.18893117,0.18832394,0.28219953,0.263334,0.491537,0.5789707,0.6390949,0.8000635,0.93739045
107,0.35900131596028656,0.13683812,0.18996568,0.18953606,0.2833035,0.26534933,0.48734084,0.57334656,0.6346431,0.8005626,0.9335155
108,0.3623564684458967,0.13760096,0.19111353,0.19077362,0.28443164,0.26728326,0.48331532,0.5680557,0.6302684,0.80148596,0.9296869
109,0.36571162093150683,0.13829827,0.19238108,0.1920436,0.2855836,0.26915434,0.4794646,0.56312793,0.6260082,0.80282664,0.9259145
110,0.369066773417117,0.13894023,0.1937736,0.1933524,0.2867574,0.2709804,0.4757928,0.5585879,0.6219039,0.8045779,0.92219937
111,0.37242192590272716,0.13953929,0.19529253,0.19470227,0.28794983,0.2727801,0.47230133,0.5544526,0.6179942,0.80673444,0.9185479
112,0.3757770783883373,0.1401073,0.19693759,0.1960958,0.28915545,0.27456918,0.46899042,0.5507322,0.61431825,0.8092883,0.91496235
113,0.3791322308739475,0.14065804,0.19870552,0.1975305,0.2903687,0.27636358,0.46585956,0.5474292,0.61091286,0.8122351,0.9114422
114,0.3824873833595576,0.14120461,0.20059009,0.1990026,0.2915818,0.27817434,0.46290675,0.5445379,0.60780984,0.81556624,0.90799314
115,0.3858425358451678,0.14176024,0.20258282,0.20050475,0.29278705,0.28001037,0.46013182,0.5420454,0.60503805,0.8192737,0.90461206
116,0.38919768833077795,0.14233819,0.20467196,0.20202655,0.29397598,0.28187805,0.45753333,0.5399308,0.6026185,0.8233461,0.9013039
117,0.3925528408163881,0.14294995,0.20684461,0.20355593,0.2951394,0.28377825,0.4551117,0.53816783,0.60056764,0.8277689,0.898067
118,0.3959079933019983,0.14360748,0.20908464,0.20507748,0.29626888,0.28571048,0.45286754,0.53672296,0.5988942,0.8325236,0.89490443
119,0.3992631457876084,0.14432006,0.21137519,0.20657633,0.29735547,0.28766888,0.45080474,0.5355586,0.5975993,0.837585,0.8918198
120,0.40261829827321854,0.14509623,0.21369784,0.20803435,0.29839185,0.28964573,0.448927,0.5346339,0.5966788,0.8429233,0.88881594
121,0.40597345075882874,0.14594217,0.21603307,0.20943451,0.29937053,0.29163003,0.4472404,0.53390586,0.59611976,0.84850055,0.8859027
122,0.40932860324443887,0.146863,0.21836233,0.21076046,0.30028573,0.29360837,0.4457521,0.5333316,0.59590566,0.85427254,0.8830872
123,0.412683755730049,0.14786172,0.22066611,0.21199588,0.30113268,0.2955661,0.44447,0.5328692,0.5960142,0.8601882,0.8803853
124,0.4160389082156592,0.14893802,0.222927,0.21312742,0.30190828,0.29748666,0.4434038,0.5324811,0.59641963,0.86618954,0.8778135
125,0.41939406070126933,0.150091,0.22512786,0.21414298,0.30261108,0.29935476,0.44256163,0.5321327,0.5970953,0.8722128,0.87539387
126,0.42274921318687947,0.15131612,0.22725417,0.21503393,0.30324095,0.30115342,0.441953,0.5317974,0.59801286,0.8781901,0.8731541
127,0.42610436567248966,0.15260771,0.22929317,0.21579435,0.30379948,0.3028686,0.44158527,0.53145474,0.5991469,0.884049,0.8711242
128,0.4294595181580998,0.15395765,0.23123449,0.21642095,0.30428937,0.3044869,0.44146484,0.5310938,0.6004733,0.8897165,0.8693405
129,0.43281467064370993,0.15535519,0.23307052,0.21691416,0.30471537,0.3059971,0.44159752,0.5307117,0.6019741,0.89511824,0.86784047
130,0.4361698231293201,0.15678887,0.23479566,0.21727616,0.3050822,0.30739197,0.44198465,0.53031474,0.6036361,0.90018296,0.8666654
131,0.43952497561493026,0.15824486,0.23640764,0.21751271,0.30539653,0.30866557,0.44262898,0.5299184,0.6054531,0.9048421,0.8658557
132,0.4428801281005404,0.15970844,0.2379056,0.21763092,0.3056637,0.30981594,0.44352746,0.52954537,0.6074273,0.9090335,0.8654528
133,0.4462352805861506,0.161164,0.23929168,0.21763992,0.30589122,0.31084526,0.44467822,0.52922624,0.6095674,0.91270256,0.86549246
134,0.4495904330717607,0.16259524,0.24056922,0.21754976,0.30608466,0.31175756,0.44607595,0.528996,0.6118906,0.9158014,0.86600786
135,0.45294558555737086,0.16398647,0.24174319,0.21737094,0.30624896,0.31256044,0.44771442,0.52889395,0.6144211,0.918297,0.86702436
136,0.45630073804298105,0.16532181,0.24281995,0.21711393,0.30639002,0.3132635,0.44958678,0.52896094,0.61718816,0.9201623,0.8685579
137,0.4596558905285912,0.1665864,0.24380611,0.21678884,0.30650946,0.31387734,0.451685,0.5292374,0.6202259,0.9213867,0.87061536
138,0.4630110430142013,0.16776714,0.24470931,0.21640486,0.30661058,0.31441516,0.4540015,0.5297627,0.6235698,0.92197007,0.873189
139,0.4663661954998115,0.16885175,0.2455365,0.2159696,0.3066926,0.31488863,0.45652783,0.5305706,0.62725574,0.9219256,0.8762612
140,0.46972134798542164,0.16983062,0.24629562,0.21548845,0.30675486,0.3153094,0.4592571,0.531691,0.6313161,0.9212804,0.87979764
141,0.4730765004710318,0.1706962,0.24699314,0.21496542,0.30679426,0.3156879,0.46218032,0.5331459,0.63577837,0.9200705,0.88375324
142,0.47643165295664197,0.1714428,0.2476348,0.21440202,0.30680534,0.316032,0.46529105,0.5349503,0.64066154,0.9183486,0.8880687
143,0.4797868054422521,0.17206812,0.24822678,0.21379684,0.30678278,0.316347,0.468582,0.5371104,0.6459733,0.91617304,0.8926719
144,0.4831419579278623,0.17257094,0.24877277,0.21314706,0.306718,0.3166346,0.47204515,0.5396245,0.65171033,0.91361445,0.89748234
145,0.48649711041347243,0.17295332,0.24927679,0.21244699,0.3066023,0.31689394,0.47567263,0.5424824,0.6578522,0.9107505,0.9024096
146,0.48985226289908257,0.17321908,0.24974108,0.21168868,0.30642584,0.31711867,0.47945482,0.54566604,0.6643645,0.90766394,0.9073591
147,0.49320741538469276,0.17337304,0.25016773,0.21086377,0.30617723,0.31730133,0.48338282,0.54915196,0.67119604,0.90444386,0.91223156
148,0.4965625678703029,0.17342275,0.2505573,0.20996027,0.30584526,0.31742856,0.48744407,0.5529095,0.6782784,0.9011781,0.9169279
149,0.49991772035591303,0.17337549,0.2509099,0.20896743,0.30541724,0.3174857,0.49162695,0.5569046,0.6855304,0.89795715,0.9213518
150,0.5032728728415232,0.17324053,0.25122526,0.20787306,0.3048817,0.3174547,0.49591556,0.56109947,0.6928542,0.894867,0.9254129
151,0.5066280253271334,0.17302673,0.25150248,0.20666473,0.3042263,0.31731534,0.5002956,0.56545573,0.7001435,0.8919901,0.9290284
152,0.5099831778127435,0.1727426,0.25174043,0.20533262,0.30343962,0.3170473,0.50474906,0.5699329,0.7072817,0.88940006,0.93212575
153,0.5133383302983536,0.1723981,0.25193787,0.20386584,0.30251104,0.31662822,0.5092584,0.5744926,0.71414775,0.88716215,0.93464637
154,0.5166934827839638,0.17200026,0.25209373,0.20225754,0.30143043,0.31603646,0.5138052,0.57909733,0.7206201,0.8853301,0.93654424
155,0.520048635269574,0.1715575,0.25220782,0.20050238,0.3001901,0.31525075,0.51837,0.5837123,0.7265784,0.8839438,0.9377906
156,0.5234037877551841,0.17107601,0.25228,0.198598,0.29878327,0.31425098,0.52293473,0.58830607,0.7319116,0.88303035,0.93837166
157,0.5267589402407943,0.17056145,0.2523111,0.19654629,0.29720572,0.31301945,0.52748114,0.5928508,0.73651534,0.8826002,0.9382915
158,0.5301140927264044,0.17001818,0.25230303,0.19435175,0.2954556,0.3115392,0.5319919,0.59732234,0.74030304,0.88265026,0.93757004
159,0.5334692452120146,0.16944952,0.25225914,0.19202396,0.29353353,0.30979767,0.5364511,0.6017001,0.7432032,0.8831615,0.9362428
160,0.5368243976976248,0.16885825,0.25218397,0.1895756,0.2914441,0.30778408,0.54084307,0.60596764,0.7451642,0.8841013,0.93436104
161,0.5401795501832349,0.1682449,0.2520834,0.18702379,0.28919378,0.30549118,0.5451544,0.61011,0.74615735,0.88542527,0.93198895
162,0.5435347026688451,0.16761051,0.2519656,0.18438987,0.28679362,0.30291617,0.54937124,0.61411786,0.7461741,0.887078,0.929203
163,0.5468898551544552,0.16695406,0.25183964,0.18169796,0.28425717,0.30005804,0.55348253,0.61798,0.74523187,0.88899755,0.9260891
164,0.5502450076400653,0.16627434,0.25171703,0.17897636,0.28160173,0.29692274,0.55747527,0.62169063,0.7433684,0.89111507,0.92274195
165,0.5536001601256755,0.16557008,0.2516105,0.17625497,0.27884793,0.29351744,0.56133795,0.62524,0.7406431,0.893361,0.91925967
166,0.5569553126112857,0.16483925,0.25153476,0.17356698,0.27601856,0.28985536,0.5650583,0.62862086,0.7371356,0.89566475,0.91574514
167,0.5603104650968959,0.16407962,0.25150558,0.1709462,0.27313974,0.2859535,0.56862366,0.6318237,0.7329402,0.89796114,0.91230065
168,0.563665617582506,0.16328926,0.2515402,0.16842729,0.27023926,0.2818326,0.57201976,0.6348352,0.72816634,0.9001885,0.9090267
169,0.5670207700681161,0.16246659,0.25165674,0.16604613,0.2673463,0.27751866,0.57523257,0.6376428,0.7229308,0.90229374,0.90601945
170,0.5703759225537263,0.16161019,0.25187364,0.16383538,0.26449126,0.2730401,0.57824415,0.64022607,0.71735746,0.9042323,0.9033677
171,0.5737310750393364,0.16071996,0.25220972,0.16182804,0.2617046,0.26842982,0.5810389,0.6425661,0.71156985,0.9059704,0.9011515
172,0.5770862275249466,0.15979624,0.2526828,0.16005407,0.25901723,0.26372313,0.583596,0.64463633,0.7056899,0.90748376,0.89943975
173,0.5804413800105568,0.15884052,0.25331032,0.15854008,0.25645807,0.25895825,0.58589715,0.64641005,0.6998315,0.9087581,0.8982896
174,0.5837965324961669,0.15785578,0.25410777,0.15730914,0.25405535,0.2541751,0.58792204,0.64785767,0.6940976,0.90978926,0.89774275
175,0.5871516849817771,0.1568465,0.25508878,0.15637939,0.25183514,0.2494136,0.58964986,0.6489469,0.68857896,0.9105806,0.8978277
176,0.5905068374673872,0.15581831,0.2562644,0.15576427,0.24982102,0.24471584,0.5910628,0.64964795,0.6833478,0.9111427,0.89855635
177,0.5938619899529973,0.15477832,0.2576415,0.15547174,0.24803415,0.2401215,0.5921408,0.6499299,0.67846113,0.9114907,0.89992523
178,0.5972171424386076,0.15373585,0.25922498,0.1555044,0.24649201,0.23567076,0.5928701,0.64976704,0.67395496,0.9116448,0.90191597
179,0.6005722949242177,0.15270127,0.26101467,0.15585929,0.24520957,0.23140056,0.5932364,0.649137,0.6698479,0.91162556,0.904495
180,0.6039274474098278,0.15168601,0.26300642,0.15652718,0.2441975,0.22734511,0.59323114,0.6480244,0.666141,0.9114554,0.90761566
181,0.607282599895438,0.1507033,0.26519114,0.15749481,0.24346358,0.22353646,0.59284943,0.6464211,0.66281706,0.9111575,0.9112187
182,0.6106377523810481,0.14976741,0.26755667,0.15874267,0.24301219,0.22000247,0.5920916,0.6443293,0.6598471,0.910751,0.91523564
183,0.6139929048666583,0.14889309,0.27008563,0.16024755,0.2428432,0.21676669,0.5909654,0.641759,0.6571901,0.9102578,0.9195898
184,0.6173480573522685,0.14809601,0.27275658,0.16198164,0.24295408,0.21384972,0.5894816,0.6387325,0.6547969,0.9096939,0.9241978
185,0.6207032098378786,0.14739144,0.27554506,0.1639149,0.24333774,0.21126623,0.5876619,0.63528174,0.65261525,0.90907705,0.9289743
186,0.6240583623234888,0.14679451,0.27842274,0.16601382,0.24398443,0.20902833,0.5855319,0.63144726,0.65058994,0.90842223,0.9338323
187,0.6274135148090989,0.1463206,0.2813594,0.16824387,0.24488094,0.20714344,0.5831269,0.6272812,0.64867,0.9077437,0.9386866
188,0.630768667294709,0.14598292,0.28432217,0.17056917,0.24601044,0.2056152,0.58048785,0.62284005,0.64680886,0.90705717,0.94345725
189,0.6341238197803192,0.14579387,0.28727695,0.1729533,0.24735406,0.20444356,0.5776638,0.6181892,0.6449675,0.9063748,0.9480684
190,0.6374789722659294,0.145764,0.29018968,0.17536107,0.24888845,0.20362516,0.57470953,0.6133949,0.643119,0.905714,0.9524538
191,0.6408341247515396,0.14590172,0.2930253,0.1777576,0.2505889,0.20315342,0.57168597,0.60852695,0.6412439,0.9050891,0.956555
192,0.6441892772371497,0.14621316,0.29575086,0.18011072,0.252428,0.20301938,0.5686591,0.6036537,0.63933873,0.90451664,0.9603256
