,promoter stregth,signaling threshold,feedback strength,% shared interface,delay time,Mean wavefront speed
38,2.0,0.05623413251903491,0.0,10.0,0.1,3.3615618
39,2.0,0.07943282347242814,0.0,10.0,0.1,2.6616957
40,2.0,0.11220184543019636,0.0,10.0,0.1,2.0094485
41,2.0,0.15848931924611134,0.0,10.0,0.1,1.4203148
42,2.0,0.2238721138568339,0.0,10.0,0.1,0.86311394
43,2.0,0.31622776601683794,0.0,10.0,0.1,0.35270962
44,2.5,0.01,0.0,10.0,0.1,7.1525745
45,2.5,0.01412537544622754,0.0,10.0,0.1,6.627079
46,2.5,0.0199526231496888,0.0,10.0,0.1,6.0134606
47,2.5,0.028183829312644536,0.0,10.0,0.1,5.3233914
48,2.5,0.039810717055349734,0.0,10.0,0.1,4.586538
49,2.5,0.05623413251903491,0.0,10.0,0.1,3.8474748
50,2.5,0.07943282347242814,0.0,10.0,0.1,3.1104107
51,2.5,0.11220184543019636,0.0,10.0,0.1,2.4089532
52,2.5,0.15848931924611134,0.0,10.0,0.1,1.76482
53,2.5,0.2238721138568339,0.0,10.0,0.1,1.1853465
54,2.5,0.31622776601683794,0.0,10.0,0.1,0.53372824
55,3.0,0.01,0.0,10.0,0.1,7.447864
56,3.0,0.01412537544622754,0.0,10.0,0.1,6.968388
57,3.0,0.0199526231496888,0.0,10.0,0.1,6.3922615
58,3.0,0.028183829312644536,0.0,10.0,0.1,5.7170224
59,3.0,0.039810717055349734,0.0,10.0,0.1,4.995798
60,3.0,0.05623413251903491,0.0,10.0,0.1,4.250352
61,3.0,0.07943282347242814,0.0,10.0,0.1,3.4916868
62,3.0,0.11220184543019636,0.0,10.0,0.1,2.756595
63,3.0,0.15848931924611134,0.0,10.0,0.1,2.068324
64,3.0,0.2238721138568339,0.0,10.0,0.1,1.4203148
65,3.0,0.31622776601683794,0.0,10.0,0.1,0.792177
66,0.5,0.01,2.0,10.0,0.1,0.17281625
67,0.5,0.01412537544622754,2.0,10.0,0.1,0.17281625
68,0.5,0.0199526231496888,2.0,10.0,0.1,0.17281625
69,0.5,0.028183829312644536,2.0,10.0,0.1,0.17281625
70,0.5,0.039810717055349734,2.0,10.0,0.1,0.17281625
71,0.5,0.05623413251903491,2.0,10.0,0.1,0.17281625
72,0.5,0.07943282347242814,2.0,10.0,0.1,0.17281625
73,0.5,0.11220184543019636,2.0,10.0,0.1,0.17281625
74,0.5,0.15848931924611134,2.0,10.0,0.1,0.0
75,0.5,0.2238721138568339,2.0,10.0,0.1,0.0
76,0.5,0.31622776601683794,2.0,10.0,0.1,0.0
77,1.0,0.01,2.0,10.0,0.1,0.27360246
78,1.0,0.01412537544622754,2.0,10.0,0.1,0.27360246
79,1.0,0.0199526231496888,2.0,10.0,0.1,0.27360246
80,1.0,0.028183829312644536,2.0,10.0,0.1,0.27360246
81,1.0,0.039810717055349734,2.0,10.0,0.1,0.27360246
82,1.0,0.05623413251903491,2.0,10.0,0.1,0.17281625
83,1.0,0.07943282347242814,2.0,10.0,0.1,0.17281625
84,1.0,0.11220184543019636,2.0,10.0,0.1,0.17281625
85,1.0,0.15848931924611134,2.0,10.0,0.1,0.17281625
86,1.0,0.2238721138568339,2.0,10.0,0.1,0.17281625
87,1.0,0.31622776601683794,2.0,10.0,0.1,0.0
88,1.5,0.01,2.0,10.0,0.1,6.173515
89,1.5,0.01412537544622754,2.0,10.0,0.1,3.611725
90,1.5,0.0199526231496888,2.0,10.0,0.1,2.2618794
91,1.5,0.028183829312644536,2.0,10.0,0.1,1.684268
92,1.5,0.039810717055349734,2.0,10.0,0.1,1.050075
93,1.5,0.05623413251903491,2.0,10.0,0.1,0.5835728
94,1.5,0.07943282347242814,2.0,10.0,0.1,0.35270962
95,1.5,0.11220184543019636,2.0,10.0,0.1,0.27360246
96,1.5,0.15848931924611134,2.0,10.0,0.1,0.17281625
97,1.5,0.2238721138568339,2.0,10.0,0.1,0.17281625
