,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
857,cell_351,10,77,3.08,9.543245205186608e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
858,cell_000,0,78,3.12,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
859,cell_003,1,78,3.12,0.13870701135113592,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
860,cell_015,2,78,3.12,0.0017156184200094312,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
861,cell_035,3,78,3.12,1.0377171046942168e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
862,cell_057,4,78,3.12,9.56121450314623e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
863,cell_086,5,78,3.12,9.561214373823532e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
864,cell_126,6,78,3.12,9.56121437382353e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
865,cell_181,7,78,3.12,9.56121437382353e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
866,cell_240,8,78,3.12,9.56121437382353e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
867,cell_296,9,78,3.12,9.561214373784297e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
868,cell_351,10,78,3.12,9.561190444486353e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
869,cell_000,0,79,3.16,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
870,cell_003,1,79,3.16,0.13936551774828984,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
871,cell_015,2,79,3.16,0.0017569546585645807,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
872,cell_035,3,79,3.16,1.0459123314603797e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
873,cell_057,4,79,3.16,9.578455085409678e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
874,cell_086,5,79,3.16,9.578454939360673e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
875,cell_126,6,79,3.16,9.578454939360666e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
876,cell_181,7,79,3.16,9.578454939360666e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
877,cell_240,8,79,3.16,9.578454939360666e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
878,cell_296,9,79,3.16,9.578454939319898e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
879,cell_351,10,79,3.16,9.578430660341747e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
880,cell_000,0,80,3.2,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
881,cell_003,1,80,3.2,0.14001081259042705,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
882,cell_015,2,80,3.2,0.001798316447139237,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
883,cell_035,3,80,3.2,1.0543825623887884e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
884,cell_057,4,80,3.2,9.59501833772138e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
885,cell_086,5,80,3.2,9.595018173303263e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
886,cell_126,6,80,3.2,9.595018173303255e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
887,cell_181,7,80,3.2,9.595018173303255e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
888,cell_240,8,80,3.2,9.595018173303255e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
889,cell_296,9,80,3.2,9.59501817326094e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
890,cell_351,10,80,3.2,9.594993551362077e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
891,cell_000,0,81,3.24,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
892,cell_003,1,81,3.24,0.14064319346168716,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
893,cell_015,2,81,3.24,0.0018396893357350889,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
894,cell_035,3,81,3.24,1.0631378550674287e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
895,cell_057,4,81,3.24,9.610930870597065e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
896,cell_086,5,81,3.24,9.610930686060096e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
897,cell_126,6,81,3.24,9.610930686060085e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
898,cell_181,7,81,3.24,9.610930686060085e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
899,cell_240,8,81,3.24,9.610930686060085e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
900,cell_296,9,81,3.24,9.61093068601621e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
901,cell_351,10,81,3.24,9.61090572794701e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
902,cell_000,0,82,3.2800000000000002,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
903,cell_003,1,82,3.2800000000000002,0.14126295048451376,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
