,filename,p0,J,v0,f,dt,a,k
150,data/2020-08-19_avm_phase_sims/p03.50_J-0.00_v01.00e+00,3.5,-0.0,1.0,200,0.05,0.4,2
151,data/2020-08-19_avm_phase_sims/p03.50_J-0.04_v01.00e+00,3.5,-0.04,1.0,200,0.05,0.4,2
152,data/2020-08-19_avm_phase_sims/p03.50_J-0.08_v01.00e+00,3.5,-0.08,1.0,200,0.05,0.4,2
153,data/2020-08-19_avm_phase_sims/p03.50_J-0.12_v01.00e+00,3.5,-0.12,1.0,200,0.05,0.4,2
154,data/2020-08-19_avm_phase_sims/p03.50_J-0.16_v01.00e+00,3.5,-0.16,1.0,200,0.05,0.4,2
155,data/2020-08-19_avm_phase_sims/p03.60_J-0.00_v01.00e+00,3.6,-0.0,1.0,200,0.05,0.4,2
156,data/2020-08-19_avm_phase_sims/p03.60_J-0.04_v01.00e+00,3.6,-0.04,1.0,200,0.05,0.4,2
157,data/2020-08-19_avm_phase_sims/p03.60_J-0.08_v01.00e+00,3.6,-0.08,1.0,200,0.05,0.4,2
158,data/2020-08-19_avm_phase_sims/p03.60_J-0.12_v01.00e+00,3.6,-0.12,1.0,200,0.05,0.4,2
159,data/2020-08-19_avm_phase_sims/p03.60_J-0.16_v01.00e+00,3.6,-0.16,1.0,200,0.05,0.4,2
160,data/2020-08-19_avm_phase_sims/p03.70_J-0.00_v01.00e+00,3.7,-0.0,1.0,200,0.05,0.4,2
161,data/2020-08-19_avm_phase_sims/p03.70_J-0.04_v01.00e+00,3.7,-0.04,1.0,200,0.05,0.4,2
162,data/2020-08-19_avm_phase_sims/p03.70_J-0.08_v01.00e+00,3.7,-0.08,1.0,200,0.05,0.4,2
163,data/2020-08-19_avm_phase_sims/p03.70_J-0.12_v01.00e+00,3.7,-0.12,1.0,200,0.05,0.4,2
164,data/2020-08-19_avm_phase_sims/p03.70_J-0.16_v01.00e+00,3.7,-0.16,1.0,200,0.05,0.4,2
165,data/2020-08-19_avm_phase_sims/p03.80_J-0.00_v01.00e+00,3.8,-0.0,1.0,200,0.05,0.4,2
166,data/2020-08-19_avm_phase_sims/p03.80_J-0.04_v01.00e+00,3.8,-0.04,1.0,200,0.05,0.4,2
167,data/2020-08-19_avm_phase_sims/p03.80_J-0.08_v01.00e+00,3.8,-0.08,1.0,200,0.05,0.4,2
168,data/2020-08-19_avm_phase_sims/p03.80_J-0.12_v01.00e+00,3.8,-0.12,1.0,200,0.05,0.4,2
169,data/2020-08-19_avm_phase_sims/p03.80_J-0.16_v01.00e+00,3.8,-0.16,1.0,200,0.05,0.4,2
170,data/2020-08-19_avm_phase_sims/p03.90_J-0.00_v01.00e+00,3.9,-0.0,1.0,200,0.05,0.4,2
171,data/2020-08-19_avm_phase_sims/p03.90_J-0.04_v01.00e+00,3.9,-0.04,1.0,200,0.05,0.4,2
172,data/2020-08-19_avm_phase_sims/p03.90_J-0.08_v01.00e+00,3.9,-0.08,1.0,200,0.05,0.4,2
173,data/2020-08-19_avm_phase_sims/p03.90_J-0.12_v01.00e+00,3.9,-0.12,1.0,200,0.05,0.4,2
174,data/2020-08-19_avm_phase_sims/p03.90_J-0.16_v01.00e+00,3.9,-0.16,1.0,200,0.05,0.4,2
175,data/2020-08-19_avm_phase_sims/p04.00_J-0.00_v01.00e+00,4.0,-0.0,1.0,200,0.05,0.4,2
176,data/2020-08-19_avm_phase_sims/p04.00_J-0.04_v01.00e+00,4.0,-0.04,1.0,200,0.05,0.4,2
177,data/2020-08-19_avm_phase_sims/p04.00_J-0.08_v01.00e+00,4.0,-0.08,1.0,200,0.05,0.4,2
178,data/2020-08-19_avm_phase_sims/p04.00_J-0.12_v01.00e+00,4.0,-0.12,1.0,200,0.05,0.4,2
179,data/2020-08-19_avm_phase_sims/p04.00_J-0.16_v01.00e+00,4.0,-0.16,1.0,200,0.05,0.4,2
180,data/2020-08-19_avm_phase_sims/p03.20_J-0.00_v03.16e+00,3.2,-0.0,3.1622776601683795,200,0.05,0.4,2
181,data/2020-08-19_avm_phase_sims/p03.20_J-0.04_v03.16e+00,3.2,-0.04,3.1622776601683795,200,0.05,0.4,2
182,data/2020-08-19_avm_phase_sims/p03.20_J-0.08_v03.16e+00,3.2,-0.08,3.1622776601683795,200,0.05,0.4,2
183,data/2020-08-19_avm_phase_sims/p03.20_J-0.12_v03.16e+00,3.2,-0.12,3.1622776601683795,200,0.05,0.4,2
184,data/2020-08-19_avm_phase_sims/p03.20_J-0.16_v03.16e+00,3.2,-0.16,3.1622776601683795,200,0.05,0.4,2
185,data/2020-08-19_avm_phase_sims/p03.30_J-0.00_v03.16e+00,3.3000000000000003,-0.0,3.1622776601683795,200,0.05,0.4,2
186,data/2020-08-19_avm_phase_sims/p03.30_J-0.04_v03.16e+00,3.3000000000000003,-0.04,3.1622776601683795,200,0.05,0.4,2
187,data/2020-08-19_avm_phase_sims/p03.30_J-0.08_v03.16e+00,3.3000000000000003,-0.08,3.1622776601683795,200,0.05,0.4,2
188,data/2020-08-19_avm_phase_sims/p03.30_J-0.12_v03.16e+00,3.3000000000000003,-0.12,3.1622776601683795,200,0.05,0.4,2
189,data/2020-08-19_avm_phase_sims/p03.30_J-0.16_v03.16e+00,3.3000000000000003,-0.16,3.1622776601683795,200,0.05,0.4,2
190,data/2020-08-19_avm_phase_sims/p03.40_J-0.00_v03.16e+00,3.4000000000000004,-0.0,3.1622776601683795,200,0.05,0.4,2
191,data/2020-08-19_avm_phase_sims/p03.40_J-0.04_v03.16e+00,3.4000000000000004,-0.04,3.1622776601683795,200,0.05,0.4,2
192,data/2020-08-19_avm_phase_sims/p03.40_J-0.08_v03.16e+00,3.4000000000000004,-0.08,3.1622776601683795,200,0.05,0.4,2
193,data/2020-08-19_avm_phase_sims/p03.40_J-0.12_v03.16e+00,3.4000000000000004,-0.12,3.1622776601683795,200,0.05,0.4,2
