,filename,p0,J,v0,f,dt,a,k,L,Dr
71,p03.70_J-0.04_v01.00e-01.npy,3.7,-0.04,0.1,200,0.05,0.4,2,10,0.01
72,p03.70_J-0.08_v01.00e-01.npy,3.7,-0.08,0.1,200,0.05,0.4,2,10,0.01
73,p03.70_J-0.12_v01.00e-01.npy,3.7,-0.12,0.1,200,0.05,0.4,2,10,0.01
74,p03.70_J-0.16_v01.00e-01.npy,3.7,-0.16,0.1,200,0.05,0.4,2,10,0.01
75,p03.80_J-0.00_v01.00e-01.npy,3.8,-0.0,0.1,200,0.05,0.4,2,10,0.01
76,p03.80_J-0.04_v01.00e-01.npy,3.8,-0.04,0.1,200,0.05,0.4,2,10,0.01
77,p03.80_J-0.08_v01.00e-01.npy,3.8,-0.08,0.1,200,0.05,0.4,2,10,0.01
78,p03.80_J-0.12_v01.00e-01.npy,3.8,-0.12,0.1,200,0.05,0.4,2,10,0.01
79,p03.80_J-0.16_v01.00e-01.npy,3.8,-0.16,0.1,200,0.05,0.4,2,10,0.01
80,p03.90_J-0.00_v01.00e-01.npy,3.9,-0.0,0.1,200,0.05,0.4,2,10,0.01
81,p03.90_J-0.04_v01.00e-01.npy,3.9,-0.04,0.1,200,0.05,0.4,2,10,0.01
82,p03.90_J-0.08_v01.00e-01.npy,3.9,-0.08,0.1,200,0.05,0.4,2,10,0.01
83,p03.90_J-0.12_v01.00e-01.npy,3.9,-0.12,0.1,200,0.05,0.4,2,10,0.01
84,p03.90_J-0.16_v01.00e-01.npy,3.9,-0.16,0.1,200,0.05,0.4,2,10,0.01
85,p04.00_J-0.00_v01.00e-01.npy,4.0,-0.0,0.1,200,0.05,0.4,2,10,0.01
86,p04.00_J-0.04_v01.00e-01.npy,4.0,-0.04,0.1,200,0.05,0.4,2,10,0.01
87,p04.00_J-0.08_v01.00e-01.npy,4.0,-0.08,0.1,200,0.05,0.4,2,10,0.01
88,p04.00_J-0.12_v01.00e-01.npy,4.0,-0.12,0.1,200,0.05,0.4,2,10,0.01
89,p04.00_J-0.16_v01.00e-01.npy,4.0,-0.16,0.1,200,0.05,0.4,2,10,0.01
90,p03.20_J-0.00_v03.16e-01.npy,3.2,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01
91,p03.20_J-0.04_v03.16e-01.npy,3.2,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01
92,p03.20_J-0.08_v03.16e-01.npy,3.2,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01
93,p03.20_J-0.12_v03.16e-01.npy,3.2,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01
94,p03.20_J-0.16_v03.16e-01.npy,3.2,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01
95,p03.30_J-0.00_v03.16e-01.npy,3.3000000000000003,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01
96,p03.30_J-0.04_v03.16e-01.npy,3.3000000000000003,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01
97,p03.30_J-0.08_v03.16e-01.npy,3.3000000000000003,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01
