,D_eff_n_c,data_fname,D_eff,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L
75,7,p03.62_v06.00e-03_rep0.npy,0.00674592253441612,3.62,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
76,19,p03.62_v06.00e-03_rep0.npy,0.008801435534324912,3.62,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
77,37,p03.62_v06.00e-03_rep0.npy,0.013298939706550708,3.62,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
78,7,p03.62_v01.40e-02_rep0.npy,0.005969455066536157,3.62,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
79,19,p03.62_v01.40e-02_rep0.npy,0.008381832847181634,3.62,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
80,37,p03.62_v01.40e-02_rep0.npy,0.011101949541848536,3.62,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
81,7,p03.62_v01.00e-02_rep0.npy,0.005980860907584431,3.62,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
82,19,p03.62_v01.00e-02_rep0.npy,0.008597929030656816,3.62,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
83,37,p03.62_v01.00e-02_rep0.npy,0.01132520101964474,3.62,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
84,7,p03.62_v01.80e-02_rep0.npy,0.0160303932649118,3.62,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
85,19,p03.62_v01.80e-02_rep0.npy,0.01944010778341765,3.62,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
86,37,p03.62_v01.80e-02_rep0.npy,0.03129976721089565,3.62,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
87,7,p03.62_v02.20e-02_rep0.npy,0.013518256466250777,3.62,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
88,19,p03.62_v02.20e-02_rep0.npy,0.01685860728429369,3.62,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
89,37,p03.62_v02.20e-02_rep0.npy,0.029574103715005986,3.62,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
90,7,p03.62_v02.60e-02_rep0.npy,0.06867588536273801,3.62,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
91,19,p03.62_v02.60e-02_rep0.npy,0.051063105199464,3.62,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
92,37,p03.62_v02.60e-02_rep0.npy,0.042210157806351366,3.62,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
