.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
218.92,79.13,0.77,99.46,0.86,110.32,0.89,117.64,0.89,122.29,0.93,11.12,0.88,16.76,0.63,13.22,0.38,12.43,0.21,6.35,0.08
222.69,81.82,0.79,98.37,0.85,110.73,0.89,117.96,0.89,127.53,0.97,11.43,0.90,15.81,0.59,14.01,0.41,12.50,0.21,6.96,0.09
226.46,82.14,0.80,101.12,0.87,108.94,0.87,119.89,0.91,125.98,0.96,11.18,0.88,15.74,0.59,13.41,0.39,11.69,0.19,7.27,0.10
230.24,77.14,0.75,100.48,0.87,114.00,0.92,120.88,0.92,123.37,0.94,11.19,0.88,15.59,0.58,13.03,0.37,10.46,0.16,6.84,0.09
234.01,75.45,0.73,98.16,0.85,116.66,0.94,123.52,0.94,120.49,0.91,11.50,0.91,15.75,0.59,12.34,0.34,9.19,0.12,6.05,0.07
237.79,76.34,0.74,98.46,0.85,112.99,0.91,122.36,0.93,118.19,0.89,11.37,0.90,16.03,0.60,11.39,0.31,7.93,0.09,5.47,0.06
241.56,77.29,0.75,98.33,0.85,106.53,0.85,118.09,0.89,116.63,0.88,10.37,0.80,16.81,0.64,10.48,0.27,7.31,0.08,5.43,0.06
245.34,80.91,0.78,103.39,0.89,108.57,0.87,113.93,0.86,115.46,0.87,9.49,0.72,17.26,0.66,9.62,0.24,6.74,0.06,5.77,0.06
249.11,80.33,0.78,103.83,0.90,108.93,0.87,116.32,0.88,121.59,0.92,9.16,0.69,16.93,0.64,8.80,0.20,6.50,0.06,6.21,0.08
252.89,84.78,0.82,107.92,0.93,107.02,0.86,116.88,0.88,123.69,0.94,10.39,0.81,15.75,0.59,9.21,0.22,6.75,0.06,6.54,0.08
256.66,87.75,0.85,107.22,0.93,107.19,0.86,124.98,0.95,123.86,0.94,10.75,0.84,14.71,0.54,9.59,0.24,7.93,0.09,6.39,0.08
260.43,94.54,0.92,109.37,0.95,107.37,0.86,127.26,0.97,117.46,0.89,10.33,0.80,13.94,0.51,10.61,0.28,8.71,0.11,5.96,0.07
264.21,98.39,0.95,105.77,0.91,110.54,0.89,124.15,0.94,115.53,0.87,10.15,0.78,12.86,0.46,11.49,0.31,8.33,0.10,5.67,0.06
267.98,103.20,1.00,108.70,0.94,110.34,0.89,123.46,0.94,115.48,0.87,10.29,0.80,13.75,0.50,12.11,0.33,8.45,0.10,5.98,0.07
271.76,101.29,0.98,106.90,0.92,115.48,0.93,120.75,0.91,121.61,0.92,9.81,0.75,14.17,0.52,11.92,0.33,8.02,0.09,6.13,0.07
275.53,96.07,0.93,104.13,0.90,119.45,0.96,120.14,0.91,124.02,0.94,9.53,0.72,13.39,0.48,13.52,0.39,7.92,0.09,6.18,0.07
279.31,90.78,0.88,105.30,0.91,116.33,0.94,116.77,0.88,125.80,0.96,9.66,0.74,13.57,0.49,14.11,0.41,8.59,0.11,6.48,0.08
283.08,88.44,0.86,108.62,0.94,111.41,0.89,118.35,0.89,122.62,0.93,9.12,0.68,15.28,0.57,13.38,0.38,8.51,0.11,7.32,0.10
286.86,86.67,0.84,107.39,0.93,107.73,0.86,120.09,0.91,122.83,0.93,9.10,0.68,15.76,0.59,12.46,0.35,8.74,0.11,7.34,0.10
290.63,88.21,0.85,102.07,0.88,102.38,0.82,113.56,0.85,123.96,0.94,9.60,0.73,15.83,0.59,12.49,0.35,8.95,0.12,8.03,0.12
294.40,87.30,0.85,102.87,0.89,105.88,0.85,116.88,0.88,124.28,0.95,10.07,0.77,14.50,0.53,12.46,0.35,9.14,0.12,7.58,0.11
