.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
2898.70,15.39,0.15,33.47,0.28,67.24,0.52,80.20,0.58,91.29,0.67,5.10,0.30,12.48,0.44,25.94,0.88,29.51,0.64,24.67,0.53
2902.50,17.85,0.17,32.63,0.27,64.87,0.50,80.15,0.58,91.95,0.68,4.93,0.28,12.28,0.43,24.98,0.84,27.99,0.60,24.34,0.52
2906.30,19.65,0.19,33.52,0.28,66.49,0.52,79.81,0.58,87.26,0.64,4.91,0.28,12.17,0.43,24.01,0.80,27.31,0.58,23.70,0.51
2910.10,20.57,0.20,34.75,0.29,66.53,0.52,79.42,0.57,85.85,0.62,5.09,0.30,11.79,0.41,22.25,0.74,25.84,0.55,23.83,0.51
2913.80,21.34,0.21,35.17,0.30,64.91,0.50,78.71,0.57,88.52,0.65,5.54,0.34,12.58,0.44,21.25,0.70,24.76,0.52,23.90,0.51
2917.60,20.74,0.20,34.72,0.29,64.91,0.50,77.89,0.56,90.49,0.66,5.69,0.35,13.32,0.48,21.55,0.71,24.86,0.52,23.64,0.51
2921.40,20.66,0.20,33.87,0.28,60.36,0.47,79.39,0.57,89.88,0.66,5.70,0.35,13.88,0.50,21.72,0.71,25.73,0.54,23.16,0.49
2925.20,21.97,0.21,31.46,0.26,59.25,0.46,76.67,0.55,85.21,0.62,6.18,0.40,13.71,0.50,21.55,0.71,26.88,0.57,25.86,0.56
2928.90,23.31,0.23,31.83,0.27,58.89,0.45,78.51,0.56,82.00,0.59,6.22,0.40,12.77,0.45,20.60,0.67,28.16,0.61,27.04,0.59
2932.70,23.34,0.23,33.33,0.28,61.17,0.47,74.15,0.53,82.19,0.59,6.05,0.39,11.83,0.41,20.36,0.66,30.08,0.65,24.62,0.53
2936.50,22.16,0.21,35.62,0.30,64.35,0.50,73.30,0.52,85.09,0.62,5.66,0.35,11.44,0.39,21.63,0.71,32.07,0.70,23.70,0.51
2940.30,22.57,0.22,35.84,0.30,64.13,0.50,71.72,0.51,84.19,0.61,5.21,0.31,11.42,0.39,22.74,0.75,29.45,0.64,23.62,0.51
2944.00,24.36,0.24,35.79,0.30,62.84,0.49,67.85,0.48,85.20,0.62,5.03,0.29,12.04,0.42,22.87,0.76,28.27,0.61,24.26,0.52
2947.80,25.20,0.24,38.56,0.33,60.15,0.46,70.18,0.50,85.35,0.62,5.35,0.32,12.32,0.43,22.60,0.75,27.75,0.60,25.60,0.55
2951.60,24.24,0.23,42.31,0.36,64.07,0.50,74.20,0.53,83.78,0.61,4.77,0.27,12.65,0.45,23.62,0.79,30.52,0.67,27.64,0.61
2955.40,22.39,0.22,42.00,0.36,68.84,0.54,79.61,0.57,81.65,0.59,4.91,0.28,13.36,0.48,24.59,0.83,31.71,0.70,27.41,0.60
2959.10,22.09,0.21,42.70,0.36,72.78,0.57,81.13,0.59,81.46,0.59,5.11,0.30,13.61,0.49,26.09,0.89,33.52,0.74,28.65,0.63
2962.90,21.31,0.21,45.61,0.39,74.48,0.58,80.98,0.58,84.20,0.61,5.17,0.30,13.58,0.49,25.61,0.87,37.03,0.83,29.26,0.65
2966.70,19.16,0.18,43.70,0.37,71.96,0.56,84.73,0.62,91.95,0.68,5.15,0.30,13.94,0.51,25.90,0.88,38.48,0.87,31.65,0.70
2970.50,15.09,0.15,41.29,0.35,69.41,0.54,87.52,0.64,94.05,0.69,5.07,0.29,12.83,0.46,26.73,0.91,38.99,0.88,32.88,0.73
2974.20,13.81,0.13,38.33,0.32,69.88,0.55,90.01,0.66,95.28,0.70,4.93,0.28,11.92,0.41,25.90,0.88,40.83,0.93,32.37,0.72
2978.00,11.82,0.11,34.72,0.29,67.69,0.53,89.09,0.65,95.22,0.70,5.30,0.32,11.96,0.42,24.63,0.83,43.68,1.00,32.68,0.73
2981.80,11.39,0.11,30.24,0.25,63.33,0.49,88.47,0.65,93.81,0.69,5.92,0.38,12.37,0.43,22.18,0.73,43.19,0.99,31.42,0.70
2985.60,11.67,0.11,28.11,0.23,66.59,0.52,88.67,0.65,86.56,0.63,6.58,0.44,13.04,0.47,21.31,0.70,38.65,0.87,29.03,0.64
2989.30,12.22,0.12,28.65,0.24,67.03,0.52,84.86,0.62,81.82,0.59,6.83,0.46,12.21,0.43,22.04,0.73,35.11,0.78,28.54,0.63
2993.10,12.85,0.12,29.80,0.25,65.00,0.51,82.64,0.60,81.08,0.58,7.15,0.49,11.79,0.41,21.51,0.71,32.58,0.72,25.99,0.56
2996.90,12.74,0.12,30.04,0.25,64.10,0.50,84.98,0.62,80.88,0.58,6.59,0.44,12.24,0.43,20.97,0.68,31.63,0.69,25.45,0.55
3000.70,13.15,0.13,31.92,0.27,66.31,0.52,84.06,0.61,81.11,0.58,5.61,0.35,12.59,0.45,21.86,0.72,31.95,0.70,26.02,0.57
3004.40,13.15,0.13,30.95,0.26,65.39,0.51,78.19,0.56,77.71,0.56,5.09,0.30,12.41,0.44,21.73,0.71,30.71,0.67,25.35,0.55
3008.20,14.04,0.14,30.16,0.25,65.92,0.51,76.69,0.55,78.18,0.56,5.24,0.31,11.53,0.40,21.12,0.69,29.67,0.64,24.44,0.53
3012.00,13.68,0.13,27.32,0.23,68.15,0.53,77.21,0.55,77.02,0.55,4.78,0.27,11.01,0.37,20.80,0.68,29.64,0.64,24.57,0.53
3015.80,11.53,0.11,27.00,0.22,65.57,0.51,76.88,0.55,79.38,0.57,4.75,0.26,10.58,0.35,20.32,0.66,29.75,0.65,26.16,0.57
3019.50,9.44,0.09,26.33,0.22,61.88,0.48,77.54,0.56,80.29,0.58,4.73,0.26,11.30,0.39,20.19,0.65,30.52,0.67,28.21,0.62
3023.30,8.69,0.08,22.91,0.19,59.81,0.46,72.91,0.52,81.26,0.59,4.52,0.24,11.60,0.40,20.11,0.65,33.21,0.73,29.40,0.65
3027.10,9.57,0.09,19.96,0.16,57.80,0.44,70.93,0.50,82.57,0.60,4.66,0.25,10.92,0.37,19.86,0.64,35.40,0.79,29.34,0.65
3030.90,12.97,0.12,19.66,0.16,55.19,0.42,68.95,0.49,84.08,0.61,4.97,0.28,11.03,0.37,19.40,0.62,36.42,0.82,29.40,0.65
3034.60,16.83,0.16,21.53,0.18,53.31,0.41,66.55,0.47,84.07,0.61,4.70,0.26,11.49,0.40,20.21,0.65,36.58,0.82,28.97,0.64
3038.40,19.70,0.19,24.78,0.21,54.64,0.42,67.98,0.48,83.11,0.60,4.53,0.24,12.27,0.43,21.90,0.72,37.58,0.84,27.93,0.61
3042.20,19.76,0.19,26.40,0.22,54.44,0.42,70.39,0.50,83.49,0.60,4.59,0.25,12.22,0.43,23.56,0.79,35.19,0.78,27.20,0.59
3045.90,19.28,0.19,27.74,0.23,53.65,0.41,68.21,0.48,83.85,0.61,4.60,0.25,12.44,0.44,22.72,0.75,31.95,0.70,27.61,0.60
3049.70,20.31,0.20,27.89,0.23,54.55,0.42,71.65,0.51,82.22,0.59,4.68,0.26,12.79,0.45,22.44,0.74,31.35,0.69,28.09,0.62
3053.50,20.23,0.20,30.46,0.25,56.15,0.43,72.49,0.51,81.14,0.58,4.47,0.24,12.70,0.45,21.54,0.71,31.18,0.68,28.36,0.62
3057.30,20.54,0.20,32.00,0.27,53.67,0.41,72.48,0.51,78.93,0.57,4.60,0.25,12.43,0.44,21.14,0.69,30.04,0.65,28.17,0.62
3061.00,18.39,0.18,31.93,0.27,53.28,0.41,73.48,0.52,78.78,0.57,4.56,0.24,12.21,0.43,21.26,0.70,29.49,0.64,28.55,0.63
3064.80,15.89,0.15,31.06,0.26,53.31,0.41,71.43,0.51,81.89,0.59,4.48,0.24,12.03,0.42,20.54,0.67,29.15,0.63,27.30,0.60
3068.60,15.47,0.15,28.90,0.24,55.29,0.42,71.37,0.51,84.11,0.61,4.56,0.24,12.27,0.43,21.02,0.69,30.86,0.67,27.29,0.60
3072.40,12.69,0.12,29.22,0.24,56.05,0.43,68.42,0.48,83.88,0.61,4.57,0.25,11.94,0.42,22.30,0.74,32.13,0.71,27.58,0.60
3076.10,10.05,0.10,27.13,0.23,58.97,0.45,68.38,0.48,82.44,0.60,4.56,0.24,11.13,0.38,24.34,0.82,29.36,0.64,28.56,0.63
3079.90,6.97,0.07,25.39,0.21,63.53,0.49,70.71,0.50,80.87,0.58,4.50,0.24,11.33,0.39,24.34,0.82,28.27,0.61,30.54,0.68
3083.70,5.58,0.05,24.99,0.21,63.44,0.49,72.45,0.51,78.80,0.57,4.66,0.25,10.85,0.37,24.75,0.83,29.95,0.65,30.85,0.68
3087.50,6.09,0.06,24.34,0.20,59.81,0.46,73.45,0.52,80.02,0.58,4.68,0.26,11.17,0.38,24.24,0.81,31.84,0.70,30.15,0.67
3091.20,6.51,0.06,24.61,0.20,59.26,0.46,77.07,0.55,77.93,0.56,4.57,0.25,11.68,0.40,23.07,0.77,32.91,0.73,29.10,0.64
3095.00,5.92,0.06,23.88,0.20,60.68,0.47,79.94,0.58,81.53,0.59,4.37,0.23,12.99,0.46,22.04,0.73,31.85,0.70,26.61,0.58
3098.80,5.73,0.05,23.08,0.19,62.24,0.48,80.97,0.58,83.92,0.61,4.74,0.26,13.12,0.47,22.74,0.75,32.45,0.71,27.22,0.59
3102.60,6.54,0.06,26.99,0.22,62.03,0.48,78.53,0.56,87.19,0.64,4.85,0.27,11.83,0.41,24.10,0.81,31.08,0.68,29.95,0.66
3106.30,6.63,0.06,30.76,0.26,66.39,0.52,76.03,0.54,85.79,0.62,4.80,0.27,11.67,0.40,25.02,0.84,30.37,0.66,30.72,0.68
3110.10,6.41,0.06,32.28,0.27,63.97,0.50,75.79,0.54,86.21,0.63,4.62,0.25,11.71,0.41,23.50,0.78,31.92,0.70,32.82,0.73
3113.90,6.49,0.06,32.95,0.28,59.33,0.46,74.18,0.53,86.92,0.63,4.55,0.24,11.62,0.40,22.84,0.76,33.80,0.75,33.11,0.74
3117.70,7.35,0.07,30.29,0.25,56.31,0.43,72.59,0.52,86.68,0.63,4.54,0.24,11.13,0.38,22.27,0.74,33.67,0.75,32.62,0.73
3121.40,7.73,0.07,27.45,0.23,58.64,0.45,70.66,0.50,89.99,0.66,4.42,0.23,10.77,0.36,22.33,0.74,33.49,0.74,30.33,0.67
3125.20,7.56,0.07,27.75,0.23,62.43,0.48,70.58,0.50,91.34,0.67,4.89,0.28,10.13,0.33,24.48,0.82,33.48,0.74,31.67,0.70
3129.00,8.06,0.08,30.73,0.26,64.40,0.50,70.36,0.50,92.47,0.68,5.39,0.32,10.35,0.34,24.53,0.83,32.96,0.73,33.06,0.74
3132.80,10.20,0.10,31.39,0.26,64.38,0.50,75.65,0.54,88.41,0.65,5.55,0.34,10.97,0.37,24.07,0.81,33.10,0.73,31.85,0.71
3136.50,11.74,0.11,29.11,0.24,62.63,0.49,78.47,0.56,83.34,0.60,5.58,0.34,11.75,0.41,22.72,0.75,33.04,0.73,30.84,0.68
3140.30,12.81,0.12,26.05,0.22,64.86,0.50,82.93,0.60,78.32,0.56,5.46,0.33,12.69,0.45,21.86,0.72,33.05,0.73,29.30,0.65
3144.10,12.18,0.12,26.68,0.22,65.70,0.51,82.32,0.60,77.63,0.56,5.04,0.29,13.04,0.47,21.81,0.72,34.00,0.75,27.59,0.60
3147.90,12.88,0.12,27.03,0.22,64.78,0.50,80.39,0.58,77.78,0.56,5.05,0.29,13.45,0.48,21.99,0.72,34.69,0.77,26.41,0.57
3151.60,14.49,0.14,25.84,0.21,63.89,0.50,83.66,0.61,77.25,0.55,5.04,0.29,13.80,0.50,23.81,0.80,34.10,0.76,25.37,0.55
3155.40,16.25,0.16,23.62,0.20,62.72,0.49,83.81,0.61,77.06,0.55,4.90,0.28,13.51,0.49,23.44,0.78,33.26,0.74,23.61,0.51
3159.20,16.91,0.16,23.55,0.19,60.35,0.47,84.29,0.61,75.30,0.54,4.75,0.26,12.88,0.46,21.46,0.70,33.09,0.73,24.50,0.53
3163.00,17.90,0.17,24.91,0.21,59.18,0.46,84.76,0.62,70.75,0.50,4.70,0.26,11.67,0.40,20.25,0.66,34.51,0.77,24.12,0.52
3166.70,17.85,0.17,23.67,0.20,62.68,0.49,79.07,0.57,70.56,0.50,4.42,0.23,10.06,0.33,20.43,0.66,36.22,0.81,24.89,0.54
3170.50,18.17,0.18,22.27,0.18,64.09,0.50,78.06,0.56,69.98,0.49,4.61,0.25,9.55,0.31,21.17,0.69,35.82,0.80,28.22,0.62
3174.30,18.38,0.18,24.49,0.20,63.02,0.49,82.56,0.60,70.04,0.49,5.06,0.29,9.69,0.31,21.48,0.70,33.69,0.75,32.16,0.72
3178.10,18.02,0.17,27.46,0.23,64.57,0.50,84.56,0.61,72.57,0.51,4.97,0.28,10.39,0.35,21.19,0.69,34.59,0.77,33.46,0.75
3181.80,17.74,0.17,29.61,0.25,62.40,0.48,84.64,0.62,72.97,0.52,4.84,0.27,9.92,0.32,20.74,0.68,34.71,0.77,32.41,0.72
3185.60,16.24,0.16,30.83,0.26,57.89,0.45,81.33,0.59,76.52,0.55,4.74,0.26,9.62,0.31,19.72,0.64,34.39,0.76,29.26,0.65
3189.40,13.73,0.13,30.32,0.25,56.52,0.43,81.63,0.59,80.77,0.58,4.57,0.25,9.50,0.31,20.06,0.65,35.78,0.80,29.57,0.65
3193.20,11.33,0.11,27.96,0.23,53.92,0.41,84.16,0.61,88.86,0.65,4.66,0.25,9.07,0.29,20.19,0.65,35.97,0.80,29.77,0.66
3196.90,10.02,0.10,25.61,0.21,50.61,0.38,83.69,0.61,89.07,0.65,4.66,0.25,8.69,0.27,19.83,0.64,33.29,0.74,31.79,0.71
3200.70,8.37,0.08,26.45,0.22,49.92,0.38,78.75,0.57,87.97,0.64,4.70,0.26,8.02,0.24,20.09,0.65,30.64,0.67,30.94,0.69
3204.50,7.68,0.07,28.80,0.24,47.66,0.36,74.55,0.53,89.28,0.65,4.77,0.26,8.18,0.25,20.60,0.67,30.70,0.67,28.64,0.63
3208.20,7.95,0.08,26.32,0.22,48.17,0.36,74.04,0.53,89.94,0.66,4.88,0.27,7.74,0.23,20.64,0.67,30.39,0.66,27.32,0.60
3212.00,8.82,0.08,24.56,0.20,46.85,0.35,74.34,0.53,86.04,0.63,5.05,0.29,7.58,0.22,18.87,0.60,29.45,0.64,28.16,0.62
3215.80,9.93,0.10,25.04,0.21,45.99,0.35,77.58,0.56,86.49,0.63,5.19,0.30,7.71,0.23,18.30,0.58,29.90,0.65,29.34,0.65
3219.60,12.52,0.12,21.94,0.18,47.61,0.36,81.29,0.59,83.01,0.60,5.21,0.31,7.78,0.23,18.22,0.58,31.73,0.70,29.29,0.65
3223.30,13.96,0.13,19.75,0.16,49.16,0.37,80.21,0.58,81.14,0.58,5.03,0.29,8.09,0.24,17.74,0.56,31.85,0.70,28.47,0.63
3227.10,14.64,0.14,18.67,0.15,51.30,0.39,80.38,0.58,81.49,0.59,4.89,0.28,8.54,0.26,18.81,0.60,31.79,0.70,29.15,0.64
3230.90,14.88,0.14,17.55,0.14,51.04,0.39,81.41,0.59,81.78,0.59,4.95,0.28,8.51,0.26,19.83,0.64,30.68,0.67,30.81,0.68
3234.70,13.49,0.13,16.33,0.13,50.73,0.39,77.26,0.55,83.19,0.60,5.16,0.30,8.01,0.24,20.47,0.66,31.92,0.70,33.49,0.75
3238.40,12.53,0.12,15.26,0.12,50.76,0.39,73.54,0.52,80.38,0.58,5.60,0.34,8.15,0.24,21.06,0.69,32.75,0.72,34.16,0.77
3242.20,11.74,0.11,15.94,0.13,50.54,0.38,73.43,0.52,79.86,0.57,5.79,0.36,8.43,0.26,21.15,0.69,32.28,0.71,33.41,0.75
3246.00,11.56,0.11,17.44,0.14,50.75,0.39,75.29,0.54,80.20,0.58,5.61,0.35,8.21,0.25,20.21,0.65,31.81,0.70,33.07,0.74
3249.80,11.59,0.11,18.42,0.15,50.87,0.39,74.02,0.53,78.75,0.56,5.31,0.32,7.89,0.23,20.11,0.65,31.85,0.70,31.19,0.69
3253.50,11.75,0.11,18.11,0.15,49.42,0.37,74.98,0.54,80.06,0.58,5.19,0.30,8.02,0.24,19.80,0.64,32.37,0.71,31.61,0.70
3257.30,12.26,0.12,16.88,0.14,47.54,0.36,75.08,0.54,81.34,0.59,5.27,0.31,7.88,0.23,19.32,0.62,29.90,0.65,30.98,0.69
3261.10,12.25,0.12,17.79,0.14,47.94,0.36,75.84,0.54,85.71,0.62,5.17,0.30,8.02,0.24,19.09,0.61,27.95,0.60,29.17,0.64
3264.90,12.46,0.12,19.18,0.16,48.63,0.37,80.49,0.58,85.17,0.62,5.12,0.30,8.29,0.25,19.10,0.61,32.15,0.71,27.54,0.60
3268.60,13.22,0.13,20.40,0.17,54.79,0.42,79.10,0.57,85.01,0.62,4.99,0.29,8.28,0.25,19.41,0.62,34.29,0.76,25.24,0.55
3272.40,13.32,0.13,21.48,0.18,62.09,0.48,74.37,0.53,83.58,0.61,4.83,0.27,8.49,0.26,19.80,0.64,33.15,0.73,25.63,0.56
3276.20,12.81,0.12,20.65,0.17,60.62,0.47,73.05,0.52,83.27,0.60,4.97,0.28,8.19,0.25,18.84,0.60,33.56,0.74,25.05,0.54
3280.00,12.53,0.12,19.99,0.16,58.28,0.45,74.89,0.53,84.10,0.61,5.18,0.30,7.96,0.24,16.90,0.52,34.78,0.77,25.49,0.55
3283.70,12.04,0.12,20.38,0.17,55.25,0.42,77.57,0.56,82.45,0.60,5.36,0.32,8.48,0.26,16.82,0.52,34.59,0.77,27.24,0.60
3287.50,10.43,0.10,21.47,0.18,50.60,0.38,78.59,0.57,82.24,0.59,5.32,0.32,8.77,0.27,17.91,0.56,33.68,0.75,29.31,0.65
3291.30,7.68,0.07,23.30,0.19,51.30,0.39,77.45,0.56,81.82,0.59,5.53,0.34,8.25,0.25,17.97,0.57,33.39,0.74,31.34,0.70
3295.10,5.94,0.06,25.93,0.22,50.15,0.38,76.95,0.55,88.72,0.65,5.25,0.31,8.49,0.26,17.63,0.55,32.98,0.73,31.77,0.71
3298.80,5.44,0.05,29.04,0.24,49.07,0.37,75.67,0.54,88.55,0.65,4.82,0.27,8.59,0.26,15.98,0.49,31.57,0.69,30.61,0.68
3302.60,5.06,0.05,31.57,0.26,49.58,0.38,72.15,0.51,85.90,0.62,4.90,0.28,8.37,0.25,15.07,0.45,30.30,0.66,30.53,0.68
3306.40,5.37,0.05,30.84,0.26,50.94,0.39,69.66,0.49,79.51,0.57,4.99,0.29,7.89,0.23,15.54,0.47,28.53,0.62,29.03,0.64
3310.20,5.78,0.06,27.86,0.23,52.78,0.40,73.05,0.52,79.42,0.57,4.88,0.27,7.40,0.21,15.65,0.47,28.82,0.62,29.26,0.65
3313.90,5.87,0.06,24.47,0.20,53.44,0.41,74.32,0.53,80.85,0.58,4.79,0.27,7.19,0.20,15.20,0.46,29.93,0.65,28.22,0.62
3317.70,5.87,0.06,19.95,0.16,52.07,0.40,76.24,0.55,81.14,0.58,4.70,0.26,6.63,0.18,14.64,0.43,30.18,0.66,30.08,0.67
3321.50,5.98,0.06,16.06,0.13,49.31,0.37,75.88,0.54,82.18,0.59,5.04,0.29,6.56,0.17,14.62,0.43,32.61,0.72,33.10,0.74
3325.30,5.58,0.05,15.26,0.12,42.84,0.32,74.63,0.53,83.82,0.61,4.99,0.29,6.90,0.19,14.07,0.41,35.43,0.79,35.58,0.80
3329.00,4.54,0.04,17.34,0.14,41.10,0.30,75.60,0.54,80.26,0.58,4.69,0.26,7.22,0.20,14.02,0.41,35.78,0.80,34.99,0.79
3332.80,3.60,0.03,19.64,0.16,43.22,0.32,78.45,0.56,77.23,0.55,4.78,0.27,7.45,0.21,14.66,0.44,35.42,0.79,34.55,0.78
3336.60,3.58,0.03,21.23,0.17,44.55,0.33,79.98,0.58,78.33,0.56,4.91,0.28,7.60,0.22,14.45,0.43,37.00,0.83,35.41,0.80
3340.40,4.08,0.04,22.75,0.19,46.63,0.35,79.15,0.57,76.26,0.54,4.76,0.26,7.71,0.22,13.54,0.39,37.51,0.84,35.79,0.81
3344.10,5.22,0.05,24.99,0.21,52.55,0.40,77.42,0.56,76.96,0.55,4.54,0.24,7.88,0.23,13.16,0.38,36.68,0.82,35.06,0.79
3347.90,6.17,0.06,26.54,0.22,57.02,0.44,75.69,0.54,78.52,0.56,4.50,0.24,7.78,0.23,14.24,0.42,35.67,0.80,34.30,0.77
3351.70,7.93,0.08,27.06,0.23,60.75,0.47,76.53,0.55,83.26,0.60,4.61,0.25,7.89,0.23,15.22,0.46,35.25,0.79,33.32,0.75
3355.50,10.13,0.10,25.16,0.21,64.86,0.50,77.46,0.56,87.01,0.63,4.98,0.28,8.54,0.26,15.26,0.46,34.80,0.77,31.94,0.71
3359.20,11.63,0.11,26.95,0.22,65.42,0.51,75.33,0.54,87.95,0.64,5.18,0.30,8.53,0.26,15.98,0.49,32.16,0.71,32.62,0.73
3363.00,14.82,0.14,29.57,0.25,65.72,0.51,76.13,0.54,89.43,0.65,4.81,0.27,8.34,0.25,17.14,0.53,30.91,0.68,35.09,0.79
3366.80,18.07,0.17,33.05,0.28,66.69,0.52,79.02,0.57,88.62,0.65,4.87,0.27,8.08,0.24,18.09,0.57,31.37,0.69,36.54,0.83
3370.50,18.52,0.18,36.04,0.30,68.14,0.53,81.21,0.59,88.00,0.64,4.85,0.27,8.06,0.24,17.57,0.55,32.82,0.72,36.45,0.82
3374.30,19.05,0.18,35.53,0.30,64.05,0.50,83.53,0.61,86.56,0.63,5.09,0.30,8.31,0.25,16.87,0.52,31.86,0.70,34.12,0.77
3378.10,19.20,0.19,40.90,0.35,62.86,0.49,89.81,0.66,85.07,0.62,4.78,0.27,8.28,0.25,18.37,0.58,30.69,0.67,32.52,0.73
3381.90,18.38,0.18,39.95,0.34,61.69,0.48,94.19,0.69,85.86,0.62,4.84,0.27,7.72,0.23,19.67,0.63,31.89,0.70,32.41,0.72
3385.60,19.77,0.19,38.06,0.32,59.05,0.46,92.45,0.68,86.34,0.63,4.79,0.27,8.30,0.25,18.97,0.61,32.41,0.71,31.67,0.70
3389.40,19.15,0.18,35.98,0.30,56.35,0.43,85.79,0.62,86.26,0.63,5.14,0.30,8.06,0.24,18.08,0.57,32.22,0.71,30.67,0.68
3393.20,20.01,0.19,33.87,0.28,51.48,0.39,86.98,0.63,83.95,0.61,4.98,0.28,8.10,0.24,16.39,0.50,31.03,0.68,31.32,0.70
3397.00,21.37,0.21,33.67,0.28,48.54,0.37,87.80,0.64,87.50,0.64,5.01,0.29,8.21,0.25,14.97,0.45,30.33,0.66,31.36,0.70
3400.70,20.68,0.20,34.61,0.29,47.75,0.36,86.81,0.63,90.69,0.66,4.90,0.28,7.91,0.23,14.34,0.42,32.17,0.71,34.32,0.77
3404.50,20.24,0.20,31.88,0.27,49.10,0.37,83.43,0.61,90.95,0.67,4.63,0.25,7.55,0.22,15.45,0.47,30.51,0.67,35.93,0.81
3408.30,20.26,0.20,26.30,0.22,50.91,0.39,79.72,0.57,88.77,0.65,4.76,0.26,7.23,0.20,16.16,0.49,30.57,0.67,35.35,0.80
3412.10,20.73,0.20,24.15,0.20,51.33,0.39,76.82,0.55,87.22,0.64,4.65,0.25,7.53,0.22,16.25,0.50,29.09,0.63,33.57,0.75
3415.80,22.55,0.22,22.51,0.19,54.97,0.42,74.87,0.53,82.35,0.59,4.59,0.25,7.93,0.23,16.65,0.51,29.32,0.64,32.97,0.74
3419.60,24.04,0.23,21.28,0.17,58.40,0.45,75.73,0.54,79.79,0.57,4.64,0.25,7.92,0.23,16.90,0.52,28.42,0.61,32.74,0.73
3423.40,24.88,0.24,20.79,0.17,60.31,0.47,77.91,0.56,81.80,0.59,4.99,0.29,7.89,0.23,18.17,0.57,29.22,0.63,33.59,0.75
3427.20,23.87,0.23,22.42,0.18,60.67,0.47,76.85,0.55,82.00,0.59,5.22,0.31,7.46,0.21,18.05,0.57,28.25,0.61,32.96,0.74
3430.90,21.60,0.21,24.32,0.20,56.82,0.44,77.50,0.56,79.29,0.57,5.28,0.31,7.43,0.21,18.23,0.58,29.14,0.63,31.91,0.71
3434.70,21.31,0.21,25.55,0.21,53.22,0.41,79.85,0.58,76.76,0.55,5.28,0.31,7.42,0.21,18.19,0.57,30.35,0.66,33.19,0.74
3438.50,20.75,0.20,23.68,0.20,53.04,0.40,83.22,0.60,78.85,0.57,4.93,0.28,7.24,0.20,17.77,0.56,30.71,0.67,31.85,0.71
3442.30,19.75,0.19,22.31,0.18,55.29,0.42,80.95,0.58,80.27,0.58,5.14,0.30,7.50,0.22,16.32,0.50,32.48,0.72,32.49,0.73
3446.00,19.24,0.19,22.78,0.19,56.38,0.43,78.30,0.56,83.70,0.61,4.92,0.28,7.32,0.21,15.94,0.49,33.49,0.74,33.83,0.76
3449.80,17.65,0.17,26.64,0.22,58.14,0.45,74.64,0.53,82.89,0.60,4.82,0.27,7.31,0.21,15.70,0.48,33.56,0.74,33.17,0.74
3453.60,15.20,0.15,28.97,0.24,59.33,0.46,73.51,0.52,83.83,0.61,4.54,0.24,7.53,0.22,16.20,0.50,32.26,0.71,30.52,0.68
3457.40,13.35,0.13,26.13,0.22,58.89,0.45,73.64,0.52,82.46,0.60,4.32,0.22,7.22,0.20,17.01,0.53,30.31,0.66,29.94,0.66
3461.10,15.60,0.15,29.13,0.24,57.10,0.44,75.70,0.54,84.46,0.61,4.50,0.24,7.71,0.22,17.57,0.55,29.97,0.65,29.77,0.66
3464.90,15.74,0.15,29.37,0.25,55.62,0.43,76.67,0.55,86.10,0.63,4.57,0.25,7.85,0.23,19.13,0.61,32.03,0.70,30.45,0.67
3468.70,17.47,0.17,30.14,0.25,55.64,0.43,77.45,0.56,88.33,0.64,4.50,0.24,7.93,0.23,19.44,0.62,32.16,0.71,30.37,0.67
3472.50,19.84,0.19,31.09,0.26,55.89,0.43,80.00,0.58,90.64,0.66,4.33,0.22,8.13,0.24,18.62,0.59,30.41,0.66,30.63,0.68
3476.20,20.84,0.20,29.13,0.24,53.43,0.41,78.96,0.57,86.85,0.63,4.45,0.23,8.43,0.26,16.30,0.50,27.62,0.59,30.00,0.66
3480.00,21.06,0.20,26.96,0.22,52.74,0.40,76.33,0.55,84.67,0.61,4.67,0.26,7.97,0.24,14.93,0.45,26.99,0.58,29.06,0.64
3483.80,20.55,0.20,23.78,0.20,58.85,0.45,74.75,0.53,84.84,0.62,4.63,0.25,8.15,0.24,15.50,0.47,27.06,0.58,28.13,0.62
3487.60,20.41,0.20,24.41,0.20,58.24,0.45,73.56,0.52,83.90,0.61,4.58,0.25,7.44,0.21,14.90,0.44,27.71,0.59,27.06,0.59
3491.30,23.08,0.22,25.64,0.21,52.10,0.40,68.53,0.48,83.68,0.61,4.76,0.26,7.29,0.21,13.08,0.37,26.51,0.56,26.90,0.59
3495.10,21.34,0.21,27.78,0.23,47.15,0.36,67.50,0.47,82.29,0.59,4.65,0.25,7.50,0.22,12.98,0.37,28.57,0.62,27.31,0.60
3498.90,19.37,0.19,25.96,0.22,44.37,0.33,66.58,0.47,77.90,0.56,4.60,0.25,7.41,0.21,12.38,0.35,29.88,0.65,26.96,0.59
3502.70,17.15,0.17,25.45,0.21,45.21,0.34,71.12,0.50,81.08,0.58,4.63,0.25,7.37,0.21,10.65,0.28,30.00,0.65,29.69,0.66
