,frame,avg. speed,movie,plating density,replicate,time (hr),density
120,80,0.5041833282456586,160000 cells B.avi,160000,B,80,680
121,90,0.4159393039358875,160000 cells B.avi,160000,B,90,692
122,100,0.366480639607462,160000 cells B.avi,160000,B,100,370
123,110,0.31027016920442296,160000 cells B.avi,160000,B,110,293
124,120,0.20772694923783627,160000 cells B.avi,160000,B,120,325
125,130,0.4492196105109737,160000 cells B.avi,160000,B,130,194
126,140,0.17046922275831114,160000 cells B.avi,160000,B,140,221
127,150,0.30960540413688936,160000 cells B.avi,160000,B,150,257
128,0,1.3247166902813352,160000 cells C.avi,160000,C,0,305
129,10,0.9249057472748542,160000 cells C.avi,160000,C,10,340
130,20,0.5796946959276078,160000 cells C.avi,160000,C,20,293
131,30,1.1898775548879206,160000 cells C.avi,160000,C,30,404
132,40,0.8774015962773692,160000 cells C.avi,160000,C,40,445
133,50,0.5605592625964989,160000 cells C.avi,160000,C,50,409
134,60,0.4606334219018045,160000 cells C.avi,160000,C,60,612
135,70,0.2953379383182217,160000 cells C.avi,160000,C,70,607
136,80,0.27150767428129763,160000 cells C.avi,160000,C,80,433
137,90,0.3447181253087115,160000 cells C.avi,160000,C,90,379
138,100,0.2846185129440936,160000 cells C.avi,160000,C,100,578
139,110,0.42944972985609375,160000 cells C.avi,160000,C,110,459
140,120,0.214158307282735,160000 cells C.avi,160000,C,120,547
141,130,0.2403934078845241,160000 cells C.avi,160000,C,130,377
142,140,0.20573814991416092,160000 cells C.avi,160000,C,140,173
143,150,0.20900405886822654,160000 cells C.avi,160000,C,150,490
144,0,1.035873809531883,20000 cells A.avi,20000,A,0,170
145,10,1.0303364337816592,20000 cells A.avi,20000,A,10,147
146,20,1.011680914733022,20000 cells A.avi,20000,A,20,155
147,30,1.0147437189625794,20000 cells A.avi,20000,A,30,175
148,40,1.4072421692051038,20000 cells A.avi,20000,A,40,234
149,50,1.3401398919711127,20000 cells A.avi,20000,A,50,260
150,60,1.395439096927502,20000 cells A.avi,20000,A,60,390
151,70,1.3368967034064303,20000 cells A.avi,20000,A,70,466
152,80,1.2568439798648392,20000 cells A.avi,20000,A,80,595
153,90,0.9438006054431634,20000 cells A.avi,20000,A,90,641
154,100,0.8220873084700535,20000 cells A.avi,20000,A,100,767
155,110,0.9237106602040313,20000 cells A.avi,20000,A,110,756
156,120,0.6917916290467371,20000 cells A.avi,20000,A,120,811
157,130,0.7279210299553818,20000 cells A.avi,20000,A,130,767
158,140,0.5503032808181781,20000 cells A.avi,20000,A,140,626
159,150,0.5588514005829548,20000 cells A.avi,20000,A,150,701
160,0,0.9933809724555678,20000 cells B.avi,20000,B,0,148
161,10,0.9398732556505284,20000 cells B.avi,20000,B,10,122
162,20,1.01717764203034,20000 cells B.avi,20000,B,20,173
163,30,1.2908035141253675,20000 cells B.avi,20000,B,30,160
164,40,1.314655624516864,20000 cells B.avi,20000,B,40,325
165,50,1.386003436170935,20000 cells B.avi,20000,B,50,325
166,60,1.401021177842896,20000 cells B.avi,20000,B,60,327
167,70,1.267039289847821,20000 cells B.avi,20000,B,70,364
168,80,1.292005347771752,20000 cells B.avi,20000,B,80,535
169,90,0.8892031120349242,20000 cells B.avi,20000,B,90,641
170,100,0.8482164073786735,20000 cells B.avi,20000,B,100,765
171,110,0.7479526077183688,20000 cells B.avi,20000,B,110,730
172,120,0.6261152490766787,20000 cells B.avi,20000,B,120,754
173,130,0.6250296162023884,20000 cells B.avi,20000,B,130,689
174,140,0.7899296026290695,20000 cells B.avi,20000,B,140,612
175,150,0.6950085239526489,20000 cells B.avi,20000,B,150,754
176,0,1.0793535628101387,20000 cells C.avi,20000,C,0,173
177,10,0.9082375330555892,20000 cells C.avi,20000,C,10,170
178,20,1.186615899982854,20000 cells C.avi,20000,C,20,170
179,30,1.3228833469041197,20000 cells C.avi,20000,C,30,197
180,40,1.4241064906558376,20000 cells C.avi,20000,C,40,265
181,50,1.4683992319174644,20000 cells C.avi,20000,C,50,225
182,60,1.3784647425447771,20000 cells C.avi,20000,C,60,293
183,70,1.1960916133545976,20000 cells C.avi,20000,C,70,500
184,80,1.3787757607867466,20000 cells C.avi,20000,C,80,457
185,90,1.0239047535203536,20000 cells C.avi,20000,C,90,404
186,100,0.8462773356791528,20000 cells C.avi,20000,C,100,290
187,110,0.9729139156341384,20000 cells C.avi,20000,C,110,221
188,120,0.6413219297771234,20000 cells C.avi,20000,C,120,325
189,130,0.8311251003495281,20000 cells C.avi,20000,C,130,263
190,140,0.7077135138979084,20000 cells C.avi,20000,C,140,225
191,150,0.9758502434857624,20000 cells C.avi,20000,C,150,236
192,0,1.481437000963972,2500 cell A.avi,2500,A,0,137
