,cell,gene_0,gene_1,step,time,X_coord,Y_coord,k_0,k_1
594,594,4.174038625364995,95.8282058904431,9,9,6.5,0.0,20.0,20.0
623,623,4.174038596945826,95.82820602869607,9,9,7.5,0.0,20.0,20.0
652,652,4.174038596609576,95.82820603111428,9,9,8.5,0.0,20.0,20.0
681,681,4.17403859660861,95.82820603113265,9,9,9.5,0.0,20.0,20.0
710,710,4.17403859660861,95.82820603113265,9,9,10.5,0.0,20.0,20.0
739,739,4.17403859660861,95.82820603113265,9,9,11.5,0.0,20.0,20.0
768,768,4.17403859660861,95.82820603113265,9,9,12.5,0.0,20.0,20.0
797,797,4.17403859660861,95.82820603113265,9,9,13.5,0.0,20.0,20.0
14,14,4.174038596608609,95.82614878043063,10,10,-13.5,0.0,20.0,20.0
43,43,4.17403859660861,95.82614878043063,10,10,-12.5,0.0,20.0,20.0
72,72,4.17403859660861,95.82614878043063,10,10,-11.5,0.0,20.0,20.0
101,101,4.174038596608738,95.82614878043047,10,10,-10.5,0.0,20.0,20.0
130,130,4.174038596628639,95.82614878037306,10,10,-9.5,0.0,20.0,20.0
159,159,4.1740385978823475,95.82614877474225,10,10,-8.5,0.0,20.0,20.0
188,188,4.174038648992662,95.82614851731375,10,10,-7.5,0.0,20.0,20.0
217,217,4.174040158628416,95.82614082991931,10,10,-6.5,0.0,20.0,20.0
246,246,4.1740754833566704,95.825961251667,10,10,-5.5,0.0,20.0,20.0
275,275,4.174826224915982,95.82242757265965,10,10,-4.5,0.0,20.0,20.0
304,304,4.1884102485182355,95.74941243366479,10,10,-3.5,0.0,20.0,20.0
333,333,4.498826841488783,94.56604870268961,10,10,-2.5,0.0,20.0,20.0
362,362,8.392152431583344,63.72487219685544,10,10,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,10,10,-0.5,0.0,20.0,20.0
420,420,8.392152431583344,63.72487219685544,10,10,0.5,0.0,20.0,20.0
449,449,4.4988268414887855,94.56604870268961,10,10,1.5,0.0,20.0,20.0
478,478,4.1884102485182355,95.74941243366479,10,10,2.5,0.0,20.0,20.0
507,507,4.174826224915982,95.82242757265965,10,10,3.5,0.0,20.0,20.0
536,536,4.17407548335667,95.825961251667,10,10,4.5,0.0,20.0,20.0
565,565,4.174040158628416,95.82614082991931,10,10,5.5,0.0,20.0,20.0
594,594,4.174038648992662,95.82614851731375,10,10,6.5,0.0,20.0,20.0
623,623,4.1740385978823475,95.82614877474225,10,10,7.5,0.0,20.0,20.0
652,652,4.174038596628639,95.82614878037306,10,10,8.5,0.0,20.0,20.0
681,681,4.174038596608738,95.82614878043047,10,10,9.5,0.0,20.0,20.0
710,710,4.17403859660861,95.82614878043063,10,10,10.5,0.0,20.0,20.0
739,739,4.17403859660861,95.82614878043063,10,10,11.5,0.0,20.0,20.0
768,768,4.17403859660861,95.82614878043063,10,10,12.5,0.0,20.0,20.0
797,797,4.17403859660861,95.82614878043063,10,10,13.5,0.0,20.0,20.0
14,14,4.174210338685163,95.82614878043063,11,11,-13.5,0.0,20.0,20.0
43,43,4.174210338685164,95.82614878043063,11,11,-12.5,0.0,20.0,20.0
72,72,4.174210338685165,95.82614878043061,11,11,-11.5,0.0,20.0,20.0
101,101,4.174210338685593,95.8261487804269,11,11,-10.5,0.0,20.0,20.0
130,130,4.174210338733465,95.82614878016796,11,11,-9.5,0.0,20.0,20.0
159,159,4.174210341185128,95.82614876871736,11,11,-8.5,0.0,20.0,20.0
188,188,4.17421042149569,95.82614840771005,11,11,-7.5,0.0,20.0,20.0
217,217,4.174212396444954,95.82613944253575,11,11,-6.5,0.0,20.0,20.0
246,246,4.174253104492425,95.82594778553955,11,11,-5.5,0.0,20.0,20.0
275,275,4.1750535540024485,95.82231672422401,11,11,-4.5,0.0,20.0,20.0
304,304,4.189050282541826,95.74857188691882,11,11,-3.5,0.0,20.0,20.0
333,333,4.502546210039072,94.55933460980418,11,11,-2.5,0.0,20.0,20.0
362,362,8.419786732263194,63.68927816288774,11,11,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,11,11,-0.5,0.0,20.0,20.0
420,420,8.419786732263194,63.68927816288775,11,11,0.5,0.0,20.0,20.0
449,449,4.502546210039071,94.55933460980418,11,11,1.5,0.0,20.0,20.0
478,478,4.189050282541825,95.74857188691882,11,11,2.5,0.0,20.0,20.0
507,507,4.1750535540024485,95.82231672422401,11,11,3.5,0.0,20.0,20.0
536,536,4.174253104492423,95.82594778553955,11,11,4.5,0.0,20.0,20.0
565,565,4.174212396444954,95.82613944253575,11,11,5.5,0.0,20.0,20.0
594,594,4.17421042149569,95.82614840771005,11,11,6.5,0.0,20.0,20.0
623,623,4.1742103411851295,95.82614876871736,11,11,7.5,0.0,20.0,20.0
652,652,4.174210338733465,95.82614878016796,11,11,8.5,0.0,20.0,20.0
681,681,4.174210338685593,95.8261487804269,11,11,9.5,0.0,20.0,20.0
710,710,4.174210338685165,95.82614878043061,11,11,10.5,0.0,20.0,20.0
739,739,4.174210338685164,95.82614878043063,11,11,11.5,0.0,20.0,20.0
768,768,4.174210338685164,95.82614878043063,11,11,12.5,0.0,20.0,20.0
797,797,4.174210338685164,95.82614878043063,11,11,13.5,0.0,20.0,20.0
14,14,4.174210338685163,95.8258196419302,12,12,-13.5,0.0,20.0,20.0
43,43,4.174210338685164,95.8258196419302,12,12,-12.5,0.0,20.0,20.0
72,72,4.174210338685192,95.82581964193014,12,12,-11.5,0.0,20.0,20.0
101,101,4.174210338687499,95.8258196419209,12,12,-10.5,0.0,20.0,20.0
130,130,4.174210338797986,95.82581964139281,12,12,-9.5,0.0,20.0,20.0
159,159,4.1742103425316035,95.82581962243407,12,12,-8.5,0.0,20.0,20.0
188,188,4.1742104408654885,95.82581912497142,12,12,-7.5,0.0,20.0,20.0
217,217,4.1742126057317055,95.82580838512811,12,12,-6.5,0.0,20.0,20.0
246,246,4.174254948881739,95.82559877773096,12,12,-5.5,0.0,20.0,20.0
275,275,4.175067960121516,95.82181339913895,12,12,-4.5,0.0,20.0,20.0
304,304,4.18915993599802,95.74686094723158,12,12,-3.5,0.0,20.0,20.0
333,333,4.503345343884364,94.54770343398762,12,12,-2.5,0.0,20.0,20.0
362,362,8.425910198957466,63.628804577286424,12,12,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,12,12,-0.5,0.0,20.0,20.0
420,420,8.425910198957466,63.628804577286424,12,12,0.5,0.0,20.0,20.0
