,frame,avg. speed,movie,plating density,replicate,time (hr)
15,150,0.5588514005829548,20000 cells A.avi,20000,A,150
0,0,0.9933809724555678,20000 cells B.avi,20000,B,0
1,10,0.9398732556505285,20000 cells B.avi,20000,B,10
2,20,1.01717764203034,20000 cells B.avi,20000,B,20
3,30,1.2908035141253675,20000 cells B.avi,20000,B,30
4,40,1.3146556245168641,20000 cells B.avi,20000,B,40
5,50,1.386003436170935,20000 cells B.avi,20000,B,50
6,60,1.401021177842896,20000 cells B.avi,20000,B,60
7,70,1.2670392898478213,20000 cells B.avi,20000,B,70
8,80,1.2920053477717521,20000 cells B.avi,20000,B,80
9,90,0.8892031120349242,20000 cells B.avi,20000,B,90
10,100,0.8482164073786735,20000 cells B.avi,20000,B,100
11,110,0.7479526077183688,20000 cells B.avi,20000,B,110
12,120,0.6261152490766787,20000 cells B.avi,20000,B,120
13,130,0.6250296162023884,20000 cells B.avi,20000,B,130
14,140,0.7899296026290695,20000 cells B.avi,20000,B,140
15,150,0.695008523952649,20000 cells B.avi,20000,B,150
0,0,1.0793535628101387,20000 cells C.avi,20000,C,0
1,10,0.9082375330555893,20000 cells C.avi,20000,C,10
2,20,1.186615899982854,20000 cells C.avi,20000,C,20
3,30,1.3228833469041195,20000 cells C.avi,20000,C,30
4,40,1.4241064906558376,20000 cells C.avi,20000,C,40
5,50,1.4683992319174644,20000 cells C.avi,20000,C,50
6,60,1.378464742544777,20000 cells C.avi,20000,C,60
7,70,1.1960916133545976,20000 cells C.avi,20000,C,70
8,80,1.3787757607867466,20000 cells C.avi,20000,C,80
9,90,1.0239047535203536,20000 cells C.avi,20000,C,90
10,100,0.8462773356791528,20000 cells C.avi,20000,C,100
11,110,0.9729139156341384,20000 cells C.avi,20000,C,110
12,120,0.6413219297771234,20000 cells C.avi,20000,C,120
13,130,0.8311251003495281,20000 cells C.avi,20000,C,130
14,140,0.7077135138979084,20000 cells C.avi,20000,C,140
15,150,0.9758502434857624,20000 cells C.avi,20000,C,150
0,0,1.481437000963972,2500 cell A.avi,2500,A,0
1,10,1.1597182594849478,2500 cell A.avi,2500,A,10
2,20,1.3157901322359185,2500 cell A.avi,2500,A,20
3,30,1.5271054888081348,2500 cell A.avi,2500,A,30
4,40,1.0507981045008523,2500 cell A.avi,2500,A,40
5,50,0.9758292287955069,2500 cell A.avi,2500,A,50
6,60,1.3766766763032867,2500 cell A.avi,2500,A,60
7,70,0.7886950233851883,2500 cell A.avi,2500,A,70
8,80,0.9419558156497042,2500 cell A.avi,2500,A,80
9,90,0.8090982391117314,2500 cell A.avi,2500,A,90
10,100,1.208493796483532,2500 cell A.avi,2500,A,100
11,110,1.2465555840991722,2500 cell A.avi,2500,A,110
12,120,1.351489833948078,2500 cell A.avi,2500,A,120
13,130,1.153860002511554,2500 cell A.avi,2500,A,130
14,140,0.9441362911068268,2500 cell A.avi,2500,A,140
15,150,0.851691847314867,2500 cell A.avi,2500,A,150
0,0,1.167648444028578,2500 cell B.avi,2500,B,0
1,10,1.021027466933598,2500 cell B.avi,2500,B,10
2,20,1.0033558247006513,2500 cell B.avi,2500,B,20
3,30,1.2378841404098326,2500 cell B.avi,2500,B,30
4,40,1.5332179754008197,2500 cell B.avi,2500,B,40
5,50,1.0154562240748919,2500 cell B.avi,2500,B,50
6,60,1.2345375416030042,2500 cell B.avi,2500,B,60
7,70,0.9930609529672761,2500 cell B.avi,2500,B,70
8,80,0.8034737425124244,2500 cell B.avi,2500,B,80
9,90,0.7344157198564901,2500 cell B.avi,2500,B,90
10,100,0.8332796944078852,2500 cell B.avi,2500,B,100
11,110,1.0105789487365844,2500 cell B.avi,2500,B,110
12,120,1.061102277305715,2500 cell B.avi,2500,B,120
13,130,1.0668927479013506,2500 cell B.avi,2500,B,130
14,140,1.1196384105286774,2500 cell B.avi,2500,B,140
15,150,0.8912982180265363,2500 cell B.avi,2500,B,150
0,0,1.7554944440879745,2500 cell C.avi,2500,C,0
1,10,0.5662257162363916,2500 cell C.avi,2500,C,10
2,20,0.623451285477078,2500 cell C.avi,2500,C,20
3,30,1.0021842605357982,2500 cell C.avi,2500,C,30
4,40,1.1136900042446172,2500 cell C.avi,2500,C,40
5,50,0.76266015529339,2500 cell C.avi,2500,C,50
6,60,1.019622947456633,2500 cell C.avi,2500,C,60
7,70,0.7903277990208555,2500 cell C.avi,2500,C,70
8,80,0.7517619044840077,2500 cell C.avi,2500,C,80
9,90,0.6702843630104017,2500 cell C.avi,2500,C,90
10,100,0.8878263548095239,2500 cell C.avi,2500,C,100
11,110,1.006413043335059,2500 cell C.avi,2500,C,110
12,120,0.9464948465536076,2500 cell C.avi,2500,C,120
13,130,1.2807226201657709,2500 cell C.avi,2500,C,130
14,140,1.1736951660077481,2500 cell C.avi,2500,C,140
15,150,1.0005552793214707,2500 cell C.avi,2500,C,150
0,0,0.9590115360695131,40000 cells A.avi,40000,A,0
1,10,1.094166206512979,40000 cells A.avi,40000,A,10
2,20,1.0805783205771462,40000 cells A.avi,40000,A,20
3,30,1.4552007447955466,40000 cells A.avi,40000,A,30
4,40,1.2634334989725513,40000 cells A.avi,40000,A,40
5,50,1.2338059583124454,40000 cells A.avi,40000,A,50
6,60,1.401542858111787,40000 cells A.avi,40000,A,60
7,70,0.9486046621504826,40000 cells A.avi,40000,A,70
8,80,1.0145000918683376,40000 cells A.avi,40000,A,80
9,90,0.826643726055899,40000 cells A.avi,40000,A,90
10,100,0.643443953581846,40000 cells A.avi,40000,A,100
11,110,0.6125956835599585,40000 cells A.avi,40000,A,110
12,120,0.4223917797528978,40000 cells A.avi,40000,A,120
13,130,0.37865338044145963,40000 cells A.avi,40000,A,130
14,140,0.3544841211105538,40000 cells A.avi,40000,A,140
15,150,0.4096998289757788,40000 cells A.avi,40000,A,150
0,0,1.179622791719353,40000 cells B.avi,40000,B,0
1,10,1.1234796890007186,40000 cells B.avi,40000,B,10
2,20,0.9938941891142518,40000 cells B.avi,40000,B,20
3,30,1.4153270424442665,40000 cells B.avi,40000,B,30
4,40,1.300817254923092,40000 cells B.avi,40000,B,40
5,50,1.181181802109681,40000 cells B.avi,40000,B,50
6,60,1.3995689898124604,40000 cells B.avi,40000,B,60
7,70,1.0956006203681332,40000 cells B.avi,40000,B,70
8,80,1.19173959259281,40000 cells B.avi,40000,B,80
9,90,0.949527458809277,40000 cells B.avi,40000,B,90
10,100,0.7876206864895703,40000 cells B.avi,40000,B,100
11,110,0.6141781530728062,40000 cells B.avi,40000,B,110
12,120,0.4398472599797799,40000 cells B.avi,40000,B,120
13,130,0.3833631319506464,40000 cells B.avi,40000,B,130
14,140,0.2990103676722893,40000 cells B.avi,40000,B,140
15,150,0.4073121097415626,40000 cells B.avi,40000,B,150
0,0,1.1718217803072266,40000 cells C.avi,40000,C,0
1,10,1.1707710382972443,40000 cells C.avi,40000,C,10
2,20,0.8700647490394691,40000 cells C.avi,40000,C,20
3,30,1.2672361543075372,40000 cells C.avi,40000,C,30
4,40,1.118769705442034,40000 cells C.avi,40000,C,40
5,50,1.1046960913425854,40000 cells C.avi,40000,C,50
6,60,1.4078130033776077,40000 cells C.avi,40000,C,60
7,70,1.1705317374948365,40000 cells C.avi,40000,C,70
8,80,1.071536249645214,40000 cells C.avi,40000,C,80
9,90,0.8140201239011257,40000 cells C.avi,40000,C,90
10,100,0.6519207390680725,40000 cells C.avi,40000,C,100
11,110,0.49084335426280357,40000 cells C.avi,40000,C,110
12,120,0.4098437799020999,40000 cells C.avi,40000,C,120
13,130,0.43804981096221135,40000 cells C.avi,40000,C,130
14,140,0.41268102768127196,40000 cells C.avi,40000,C,140
15,150,0.7368467627759162,40000 cells C.avi,40000,C,150
0,0,1.0589698432729795,5000 cells A.avi,5000,A,0
1,10,1.0286918678795458,5000 cells A.avi,5000,A,10
2,20,0.5062253658052487,5000 cells A.avi,5000,A,20
3,30,0.7966406525558999,5000 cells A.avi,5000,A,30
4,40,1.2247849037373812,5000 cells A.avi,5000,A,40
5,50,1.0007038508217596,5000 cells A.avi,5000,A,50
6,60,1.1653406634415433,5000 cells A.avi,5000,A,60
7,70,0.8189726316999083,5000 cells A.avi,5000,A,70
8,80,1.0895501616803902,5000 cells A.avi,5000,A,80
9,90,1.4496349383283087,5000 cells A.avi,5000,A,90
10,100,1.4674291766125538,5000 cells A.avi,5000,A,100
11,110,1.5228295819940922,5000 cells A.avi,5000,A,110
12,120,1.4482043918796959,5000 cells A.avi,5000,A,120
13,130,1.4954079865452452,5000 cells A.avi,5000,A,130
14,140,1.25891934743698,5000 cells A.avi,5000,A,140
15,150,1.0569418782787903,5000 cells A.avi,5000,A,150
0,0,1.1927482809705303,5000 cells B.avi,5000,B,0
1,10,1.4217756908388182,5000 cells B.avi,5000,B,10
2,20,0.8569759947997813,5000 cells B.avi,5000,B,20
3,30,1.068895338556176,5000 cells B.avi,5000,B,30
4,40,1.6726392588763852,5000 cells B.avi,5000,B,40
5,50,1.2041124269840984,5000 cells B.avi,5000,B,50
6,60,1.2913206358485305,5000 cells B.avi,5000,B,60
7,70,1.1618001492678374,5000 cells B.avi,5000,B,70
8,80,1.5352218717840607,5000 cells B.avi,5000,B,80
9,90,1.2790904791996762,5000 cells B.avi,5000,B,90
10,100,1.5762994443453955,5000 cells B.avi,5000,B,100
11,110,1.5210924028881325,5000 cells B.avi,5000,B,110
12,120,1.398847569411616,5000 cells B.avi,5000,B,120
13,130,1.2471365040074704,5000 cells B.avi,5000,B,130
14,140,1.1963470792432853,5000 cells B.avi,5000,B,140
15,150,1.2426778539750893,5000 cells B.avi,5000,B,150
0,0,1.0047505198538165,80000 cells A.avi,80000,A,0
1,10,0.997627522272472,80000 cells A.avi,80000,A,10
2,20,0.8575929060505162,80000 cells A.avi,80000,A,20
3,30,0.9939142230312051,80000 cells A.avi,80000,A,30
4,40,1.4191565210261434,80000 cells A.avi,80000,A,40
5,50,1.1856477865463437,80000 cells A.avi,80000,A,50
6,60,1.1802371786530588,80000 cells A.avi,80000,A,60
7,70,1.0732307713181333,80000 cells A.avi,80000,A,70
8,80,0.5915880477607414,80000 cells A.avi,80000,A,80
9,90,0.47163421255400506,80000 cells A.avi,80000,A,90
10,100,0.5340194888624991,80000 cells A.avi,80000,A,100
11,110,0.4077296862962337,80000 cells A.avi,80000,A,110
12,120,0.4739354739555839,80000 cells A.avi,80000,A,120
13,130,0.33180558511033775,80000 cells A.avi,80000,A,130
14,140,0.3118430581269086,80000 cells A.avi,80000,A,140
15,150,0.30113418781483475,80000 cells A.avi,80000,A,150
0,0,1.3571981931488983,80000 cells B.avi,80000,B,0
1,10,0.9880078659478532,80000 cells B.avi,80000,B,10
2,20,0.981571969196312,80000 cells B.avi,80000,B,20
3,30,1.0987644006664803,80000 cells B.avi,80000,B,30
4,40,1.2599423747865037,80000 cells B.avi,80000,B,40
5,50,1.0319829512191738,80000 cells B.avi,80000,B,50
6,60,1.0568633630965851,80000 cells B.avi,80000,B,60
7,70,0.7148292722325825,80000 cells B.avi,80000,B,70
8,80,0.6688851001009569,80000 cells B.avi,80000,B,80
9,90,0.6969753019989301,80000 cells B.avi,80000,B,90
10,100,0.478259386654711,80000 cells B.avi,80000,B,100
11,110,0.4266849138792917,80000 cells B.avi,80000,B,110
12,120,0.4411562948630156,80000 cells B.avi,80000,B,120
13,130,0.35303742495908097,80000 cells B.avi,80000,B,130
14,140,0.332125939113013,80000 cells B.avi,80000,B,140
15,150,0.3398711167318725,80000 cells B.avi,80000,B,150
0,0,1.7619830297205719,80000 cells C.avi,80000,C,0
1,10,1.174769408483129,80000 cells C.avi,80000,C,10
2,20,1.007781319648347,80000 cells C.avi,80000,C,20
3,30,1.273172289272235,80000 cells C.avi,80000,C,30
4,40,1.406098391872046,80000 cells C.avi,80000,C,40
5,50,1.185131484209078,80000 cells C.avi,80000,C,50
6,60,1.1600243693185108,80000 cells C.avi,80000,C,60
7,70,1.0430245717210185,80000 cells C.avi,80000,C,70
8,80,0.9085159808612213,80000 cells C.avi,80000,C,80
9,90,0.7463300826423658,80000 cells C.avi,80000,C,90
10,100,0.50729789148611,80000 cells C.avi,80000,C,100
11,110,0.5673988975182972,80000 cells C.avi,80000,C,110
12,120,0.4746358938526303,80000 cells C.avi,80000,C,120
13,130,0.39885006587030936,80000 cells C.avi,80000,C,130
14,140,0.28382882458231123,80000 cells C.avi,80000,C,140
15,150,0.2543836923966235,80000 cells C.avi,80000,C,150
